unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_unique_identifier
10.2760/4814109,Emerging Biotechnologies in Europe: Foresight for Policy,Publication,2024-11-29,https://publications.jrc.ec.europa.eu/repository/handle/JRC139415,"Agriculture and food security, Environment and climate change, Health and consumer protection, Innovation and growth","Cost of living, Bioeconomy, Biotechnology",eng,"science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology",10.2760/4814109
10.2760/48442,Scanning deep tech horizons - Publications Office of the EU,Publication,2023-09-29,https://op.europa.eu/en/publication-detail/-/publication/357419d8-6279-11ee-9220-01aa75ed71a1/language-en/format-PDF,,"Artificial intelligence, Robotics, Sustainability",eng,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, science and technology, environment, economy, business and finance>economic sector>computing and information technology, science and technology>natural science>biology, health, lifestyle and leisure>lifestyle>food and drink",10.2759/523404
10.2760/144802,Scanning deep tech horizons - Publications Office of the EU,Publication,2023-09-27,https://op.europa.eu/en/publication-detail/-/publication/2666ebc9-5e83-11ee-9220-01aa75ed71a1/language-en/format-PDF,,"Artificial intelligence, Robotics, Sustainability",eng,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, science and technology, environment, economy, business and finance>economic sector>computing and information technology, science and technology>natural science>biology, health, lifestyle and leisure>lifestyle>food and drink",10.2759/523404
10.2759/523404,Study to support an impact assessment of regulatory requirements for Artificial Intelligence in Europe - Publications Office of the EU,Publication,2021-04-21,https://op.europa.eu/en/publication-detail/-/publication/55538b70-a638-11eb-9585-01aa75ed71a1/language-en,,"Artificial intelligence, Facial recognition system, Biometrics",eng,"crime, law and justice, economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>computing and information technology, science and technology, crime, law and justice>crime, economy, business and finance>economic sector>computing and information technology>software",10.2759/523404
10.2861/38694,"Counterterrorism policies, measures and tools in the EU : an assessment of the effectiveness of the EU counterterrorism policy.",Publication,2022-04-01,https://op.europa.eu/en/publication-detail/-/publication/888cb8e3-b3bc-11ec-9d96-01aa75ed71a1/language-en/format-PDF,,"Human activities, Justice, Government",eng,"crime, law and justice, crime, law and justice>judiciary, crime, law and justice>law, crime, law and justice>crime, crime, law and justice>judiciary>court, politics>fundamental rights, politics>government, politics",10.2861/131976
10.2861/50408,"EU preparedness and responses to chemical, biological, radiological and nuclear (CBRN) threats.",Publication,2021-11-30,https://op.europa.eu/en/publication-detail/-/publication/456de2f5-5260-11ec-91ac-01aa75ed71a1/language-en/format-PDF,,"European Commission, Common Foreign and Security Policy, Common Security and Defence Policy",eng,"disaster, accident and emergency incident, disaster, accident and emergency incident>accident and emergency incident, disaster, accident and emergency incident>accident and emergency incident>industrial accident and incident, politics>government policy, politics>government, politics>government>defence>military equipment, politics>government policy>nuclear policy, politics>government>defence>military equipment>military weaponry, politics>government>defence, politics, politics>international relations, conflicts, war and peace, disaster, accident and emergency incident>accident and emergency incident>industrial accident and incident>nuclear accident and incident",10.2861/131976
10.2903/sp.efsa.2020.en-1664,Horizon Scan of Synthetic Biology Developments for Microorganisms with application in the Agri‐Food Sector,Publication,2020-03-20,https://www.efsa.europa.eu/en/supporting/pub/en-1664,,"Genetically modified organism, Organism, Biology",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",10.2903/sp.efsa.2020.en-1664
10.2795/1521,Overview of natural and man-made disaster risks the European Union may face : 2020 edition.,Publication,2021-07-23,https://op.europa.eu/en/publication-detail/-/publication/89fcf0fc-edb9-11eb-a71c-01aa75ed71a1/language-en/format-PDF,,"Biodiversity, Directorate-General for European Civil Protection and Humanitarian Aid Operations, Hazard",eng,"environment>natural resources, disaster, accident and emergency incident, disaster, accident and emergency incident>disaster, weather, environment>nature, disaster, accident and emergency incident>accident and emergency incident, environment, environment>climate change, environment>natural resources>water",10.2795/1521
randcorporation-5ff9256a791ce8e228df5b89532b160e,Artificial General Intelligence's Five Hard National Security Problems,Publication,2025-02-10,https://www.rand.org/pubs/perspectives/PEA3691-4.html,,"Artificial general intelligence, Artificial intelligence, AI safety",eng,"conflicts, war and peace>armed conflict, economy, business and finance, economy, business and finance>economic sector, politics, politics>government policy, science and technology, conflicts, war and peace>armed conflict>war, economy, business and finance>economic sector>computing and information technology, conflicts, war and peace, politics>government policy>nuclear policy",randcorporation-8435dd8a8dd0461232cb9f74ee9debf1
randcorporation-dda4358300e7c0430261f1243d69117b,Toward Best Practices for AI Evaluation and Governance,Publication,2025-06-24,https://www.rand.org/pubs/perspectives/PEA3624-1.html,,"Artificial intelligence, AI safety, Evaluation",eng,"economy, business and finance>economic sector, economy, business and finance, economy, business and finance>economic sector>computing and information technology, science and technology",10.2760/4814109
randcorporation-3ba8529f71268f650860c56098e83f08,The G7 Summit Missed an Opportunity for Progress on Global AI Governance,Publication,2025-06-23,https://www.rand.org/pubs/commentary/2025/06/the-g7-summit-missed-an-opportunity-for-progress-on.html,,"Artificial intelligence, AI safety, G7",eng,"politics>government policy, politics, science and technology, politics>government policy>safety of citizens, politics>government policy>nuclear policy",10.2760/4814109
randcorporation-43d96e3e5ce5cd10d887b23c56817a60,Automated Grading for Efficiently Evaluating the Dual-Use Biological Capabilities of Large Language Models,Publication,2025-06-12,https://www.rand.org/pubs/research_reports/RRA3124-1.html,,"Vector (molecular biology), Gene expression, Expression vector",eng,"arts, culture and entertainment, health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, arts, culture and entertainment>culture, science and technology, health>diseases and conditions>communicable disease>virus disease, arts, culture and entertainment>culture>language",10.2760/4814109
randcorporation-0649309a2866ec9dc6361ce2c186c78c,We'll Be Arguing for Years Whether Large Language Models Can Make New Scientific Discoveries,Publication,2025-06-10,https://www.rand.org/pubs/commentary/2025/06/well-be-arguing-for-years-whether-large-language-models.html,,"Artificial intelligence, Large language model, Mathematics",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>social sciences, science and technology>mathematics, science and technology, economy, business and finance>economic sector>computing and information technology, science and technology>social sciences>psychology",10.2760/4814109
