source,first_order_doi,altmetric_id,source_type,title,unique_identifier,posted_on,summary,lang_checked
altmetric,10.1787/0b55736e-en,144041100,policy,"OECD Science, Technology and Industry Policy Papers",https://www.oecd-ilibrary.org/deliver/ba068fa6-en.pdf?itemid=%2fcontent%2fpaper%2fba068fa6-en&mimetype=pdf,14/06/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,Study supporting the assessment of EU missions and the review of mission areas,https://op.europa.eu/o/opportal-service/download-handler?identifier=acf2c8ab-55ce-11ee-9220-01aa75ed71a1&format=pdf&language=en&productionsystem=cellar&part=,15/09/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,Adapting (to) Automation: Transport Workforce in Transition,https://www.itf-oecd.org/sites/default/files/docs/adapting-automation-transport-workforce-transition.pdf,12/09/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,International Scientific Collaborations In A Contested World: Discussion Paper,https://www.science.org.au/files/userfiles/support/reports-and-plans/2023/aas_discussion_paper_global%20science_opportunities_and_risks_for_australia.pdf,01/11/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,OECD Working Papers on Public Governance,https://www.oecd-ilibrary.org/deliver/b95c8396-en.pdf?itemid=%2fcontent%2fpaper%2fb95c8396-en&mimetype=pdf,09/11/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,"OECD Science, Technology and Industry Working Papers",https://www.oecd-ilibrary.org/deliver/4889f5f2-en.pdf?itemid=%2fcontent%2fpaper%2f4889f5f2-en&mimetype=pdf,08/11/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,"OECD Science, Technology and Industry Policy Papers",https://www.oecd-ilibrary.org/deliver/dffb0747-en.pdf?itemid=%2fcontent%2fpaper%2fdffb0747-en&mimetype=pdf,27/11/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,Study supporting the assessment of EU missions and the review of mission areas,https://op.europa.eu/o/opportal-service/download-handler?identifier=4972c028-9004-11ee-8aa6-01aa75ed71a1&format=pdf&language=en&productionsystem=cellar&part=,30/11/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,EUA Research & Innovation Agenda 2027,https://eua.eu/images/publications/publication_pdfs/ri_agenda.pdf,08/12/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,"OECD Science, Technology and Industry Policy Papers",https://www.oecd-ilibrary.org/deliver/b887f436-en.pdf?itemid=%2fcontent%2fpaper%2fb887f436-en&mimetype=pdf,14/12/2023,,True
altmetric,10.1787/0b55736e-en,144041100,policy,OECD Economic Policy Papers,https://www.oecd-ilibrary.org/deliver/051ce36d-en.pdf?itemid=%2fcontent%2fpaper%2f051ce36d-en&mimetype=pdf,26/06/2024,,True
altmetric,10.1787/0b55736e-en,144041100,policy,Towards sustainable transformation,https://op.europa.eu/o/opportal-service/download-handler?identifier=cc16da62-2483-11ef-a195-01aa75ed71a1&format=pdf&language=en&productionsystem=cellar&part=,06/06/2024,,True
altmetric,10.1787/0b55736e-en,144041100,policy,"Defining community protection: a core concept for strengthening the global architecture for health emergency preparedness, response and resilience",https://iris.who.int/bitstream/10665/379055/1/9789240096134-eng.pdf,26/09/2024,,True
altmetric,10.1787/0b55736e-en,144041100,policy,"OECD Science, Technology and Industry Working Papers",https://www.oecd-ilibrary.org/deliver/5e4c3204-en.pdf?itemid=%2fcontent%2fpaper%2f5e4c3204-en&mimetype=pdf,24/10/2024,,True
altmetric,10.1787/0b55736e-en,144041100,policy,OECD Economics Department Working Papers,https://www.oecd-ilibrary.org/deliver/af121c8f-en.pdf?itemid=%2fcontent%2fpaper%2faf121c8f-en&mimetype=pdf,04/09/2024,,True
altmetric,10.1787/0b55736e-en,144041100,policy,OECD Economics Department Working Papers,https://www.oecd-ilibrary.org/deliver/61244acd-en.pdf?itemid=%2fcontent%2fpaper%2f61244acd-en&mimetype=pdf,03/10/2024,,True
altmetric,10.1787/0b55736e-en,144041100,policy,Addressing European research and innovation challenges for system transitions in energy and mobility,https://op.europa.eu/o/opportal-service/download-handler?identifier=46e16a85-9d7f-11ef-85f0-01aa75ed71a1&format=pdf&language=en&productionsystem=cellar&part=,08/11/2024,,True
