first_order_id,title,publication_date,type,primary_topic.display_name,primary_topic.subfield.display_name,primary_topic.domain.display_name,topics.display_name,topics.field.display_name,topics.domain.display_name,keywords.display_name,concepts.display_name,mesh.descriptor_name,mesh.qualifier_name,second_order_id
10.2903/j.efsa.2022.7289,"Evidence for human infection with avian influenza A(H9N2) virus via environmental transmission inside live poultry market in Xiamen, China",2022-10-20,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral gastroenteritis research and epidemiology; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Transmissibility (structural dynamics); Zoonosis; Human influenza,Avian influenza virus; Influenza A virus subtype H5N1; Virology; Transmission (telecommunications); Virus; Transmissibility (structural dynamics); Biology; Pathogenicity; Zoonosis; Influenza A virus; Human influenza; Microbiology; Coronavirus disease 2019 (COVID-19); Medicine; Infectious disease (medical specialty); Disease; Physics; Vibration isolation; Quantum mechanics; Pathology; Electrical engineering; Vibration; Engineering,"Influenza A Virus, H7N9 Subtype; Influenza A Virus, H9N2 Subtype; Influenza in Birds; Influenza, Human; Animals; Chickens; China; Humans; Phylogeny; Poultry",,10.1002/jmv.28242
10.2903/j.efsa.2021.7108,Influenza from a One Health Perspective: Infection by a Highly Versatile Virus,2022-01-01,book-chapter,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Viral gastroenteritis research and epidemiology; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,,Perspective (graphical); Virology; Virus; Medicine; Microbiology; Biology; Computer science; Artificial intelligence,,,10.1007/978-3-030-85877-3_18-1
10.2903/j.efsa.2021.7108,Influenza from a One Health Perspective: Infection by a Highly Versatile Virus,2023-01-01,book-chapter,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral Infections and Vectors,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Pandemic; Human virome; Natural reservoir; Disease reservoir,Biology; Transmission (telecommunications); Pandemic; Influenza A virus subtype H5N1; Outbreak; Human virome; Virology; Host (biology); Influenza A virus; Natural reservoir; Disease reservoir; Zoology; Virus; Ecology; Disease; Infectious disease (medical specialty); Coronavirus disease 2019 (COVID-19); Metagenomics; Medicine; Biochemistry; Pathology; Gene; Electrical engineering; Engineering,,,10.1007/978-3-031-27164-9_18
10.1787/0b55736e-en,Innovation and Environment: Definition and Adoption of Eco-innovation,2025-01-01,book-chapter,Environmental Sustainability in Business,Marketing,Social Sciences,"Environmental Sustainability in Business; Sustainable Supply Chain Management; Energy, Environment, Economic Growth","Business, Management and Accounting; Business, Management and Accounting; Economics, Econometrics and Finance",Social Sciences; Social Sciences; Social Sciences,Eco-Innovation,Business; Eco-innovation; Knowledge management; Industrial organization; Process management; Computer science; Sustainability; Ecology; Biology,,,10.1007/978-3-031-85814-7_1
10.1787/0b55736e-en,"Science, Technology and Innovation in Russia: Development Challenges and Opportunities",2025-01-01,book-chapter,Economic Growth and Productivity,Economics and Econometrics,Social Sciences,Economic Growth and Productivity; Firm Innovation and Growth; Innovation Policy and R&D,"Economics, Econometrics and Finance; Economics, Econometrics and Finance; Economics, Econometrics and Finance",Social Sciences; Social Sciences; Social Sciences,Technology Development,Regional science; Technology development; Political science; Engineering ethics; Economic geography; Business; Engineering; Geography; Manufacturing engineering,,,10.1007/978-981-97-8001-3_10
10.2903/j.efsa.2022.7289,An algorithm to estimate the real time secondary infections in sub-urban bus travel: COVID-19 epidemic experience at Chennai Metropolitan city India,2023-02-02,article,COVID-19 epidemiological studies,Modeling and Simulation,Physical Sciences,COVID-19 epidemiological studies; COVID-19 Pandemic Impacts; Infection Control and Ventilation,"Mathematics; Economics, Econometrics and Finance; Medicine",Physical Sciences; Social Sciences; Health Sciences,,Metropolitan area; Population; Transmission (telecommunications); China; Geography; Business; Transport engineering; Environmental health; Computer science; Medicine; Engineering; Telecommunications; Archaeology,,,10.1007/s13337-022-00804-9
10.2903/j.efsa.2022.7415,Food Safety and Pandemics,2022-10-31,book-chapter,COVID-19 Pandemic Impacts,Economics and Econometrics,Social Sciences,COVID-19 Pandemic Impacts; Zoonotic diseases and public health; Infection Control and Ventilation,"Economics, Econometrics and Finance; Medicine; Medicine",Social Sciences; Health Sciences; Health Sciences,Safeguarding; Pandemic; Preparedness,Safeguarding; Pandemic; Food safety; Context (archaeology); Public health; Preparedness; Environmental health; Food security; Business; Medicine; Geography; Disease; Infectious disease (medical specialty); Political science; Biology; Coronavirus disease 2019 (COVID-19); Agriculture; Ecology; Nursing; Archaeology; Pathology; Law,,,10.1016/b978-0-12-822521-9.00070-8
10.2903/j.efsa.2016.4687,Changing Role of Wild Birds in the Epidemiology of Avian Influenza A Viruses,2017-11-22,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral Infections and Vectors,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Highly pathogenic; Poultry farming,Influenza A virus subtype H5N1; Biology; Outbreak; Highly pathogenic; Virology; Avian influenza virus; Poultry farming; Epidemiology; Virus; Ecology; Medicine; Internal medicine,"Birds; Influenza A virus; Influenza in Birds; Animal Migration; Animals; Birds; Disease Outbreaks; Disease Outbreaks; Disease Reservoirs; Disease Reservoirs; Disease Vectors; Endemic Diseases; Endemic Diseases; Influenza A Virus, H5N1 Subtype; Influenza A Virus, H5N1 Subtype; Influenza A virus; Influenza in Birds; Influenza in Birds; Influenza in Birds",virology; physiology; epidemiology; statistics & numerical data; virology; statistics & numerical data; physiology; transmission; virology,10.1016/bs.aivir.2017.10.007
10.2903/j.efsa.2022.7415,Broad-spectrum pan-genus and pan-family virus vaccines,2023-06-01,review,SARS-CoV-2 and COVID-19 Research,Infectious Diseases,Health Sciences,SARS-CoV-2 and COVID-19 Research; Viral gastroenteritis research and epidemiology; Vaccine Coverage and Hesitancy,Medicine; Medicine; Social Sciences,Health Sciences; Health Sciences; Social Sciences,Broad spectrum; Virus classification,Biology; Virology; Genus; Broad spectrum; Virus; Virus classification; Zoology; Genetics; Genome; Gene; Chemistry; Combinatorial chemistry,"COVID-19; Influenza Vaccines; Orthomyxoviridae Infections; Antibodies, Neutralizing; Antibodies, Viral; COVID-19; COVID-19 Vaccines; Humans; Pandemics; Pandemics; SARS-CoV-2",prevention & control; prevention & control,10.1016/j.chom.2023.05.017
10.2903/j.efsa.2022.7289,Spread of avian influenza among poultry specialists in England during winter 2022/23: National poultry housing order and environmental drivers,2024-01-04,article,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral Infections and Vectors,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Poultry farming,Influenza A virus subtype H5N1; Incidence (geometry); Poultry farming; Veterinary medicine; Confounding; Geography; Animal science; Biology; Medicine; Mathematics; Statistics; Virus; Virology; Geometry,,,10.1016/j.dialog.2024.100165
