unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,core_doi
10.2861/131976,Member Statesâ preparedness for CBRN threats : terrorism.,Publication,2018-09-10,https://op.europa.eu/en/publication-detail/-/publication/3357f853-5efd-11e8-ab9c-01aa75ed71a1/language-en/format-PDF,,"CBRN defense, Chemical warfare, Biological warfare",eng,"health>diseases and conditions, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health, health>diseases and conditions>communicable disease>epidemic, health>diseases and conditions>communicable disease>virus disease>retrovirus, science and technology>natural science>biology, health>diseases and conditions>communicable disease",10.1371/journal.pone.0188453
randcorporation-8435dd8a8dd0461232cb9f74ee9debf1,Securing Commercial Nucleic Acid Synthesis,Publication,2024-07-01,https://www.rand.org/pubs/research_reports/RRA3329-1.html,"Meselson Center, RAND Global and Emerging Risks","Virus, Nucleic acid sequence, Artificial gene synthesis",eng,"economy, business and finance, economy, business and finance>economic sector, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health, economy, business and finance>economic sector>computing and information technology",10.1371/journal.pone.0188453
10.2760/4814109,Does AI Increase the Operational Risk of Biological Attacks?,Publication,2024-01-25,https://www.rand.org/pubs/research_reports/RRA2977-2.html,"Acquisition and Technology Policy Program, RAND Global and Emerging Risks","Internet, P-value, Technology",eng,"science and technology>natural science, conflicts, war and peace, health>diseases and conditions, health, science and technology, science and technology>natural science>biology, conflicts, war and peace>act of terror",10.1371/journal.pone.0188453
robertkochde-0b98996101759c57d6dab617b03ae425,Keep control,Clinical guidance,2023-07-10,http://edoc.rki.de/176904/11211,"Amtliche Bekanntmachungen/Kommissionsveröffentlichungen, Bekanntmachungen des Robert Koch-Instituts, DDC 610, Open Access Set, Primus Set, published version, Report, textPublication","Amref Health Africa, Shanghai Cooperation Organisation, Dilemma",fre,"disaster, accident and emergency incident, health>diseases and conditions>communicable disease, health, health>diseases and conditions, disaster, accident and emergency incident>accident and emergency incident, science and technology, politics, health>diseases and conditions>communicable disease>virus disease",10.1371/journal.pone.0188453
govdeptsspain-a46876418f3e5e1819a0427c6abd06bc,The biological threat. Strategy Notebook 217,Publication,2023-02-14,https://publicaciones.defensa.gob.es/media/downloadable/files/links/l/a/la_amenaza_biologica.pdf,,"Biopreparat, Rickettsia, Bacteria",spa,"science and technology>natural science>biology, science and technology>natural science, health>diseases and conditions, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology, health",10.1371/journal.pone.0188453
hcspfr-a60da3b08c9a203a20633df75976fcd0,Review of the smallpox control plan (December 2022),Publication,2022-12-16,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1279,,"Health, Infectious diseases, Clinical medicine",fre,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",10.1371/journal.pone.0188453
hcspfr-f5c0833b69a397d7c5124e3b112599de,Review of the smallpox control plan (December 2022),Publication,2022-12-16,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1278,,"Smallpox, Mpox, Zoonosis",fre,"health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",10.1371/journal.pone.0188453
govuk-0fee75b5b0a58aa2f9dbd604f23b5b8a,Future threats or opportunities: Dstl student essay competition,Publication,2021-12-21,https://www.gov.uk/government/publications/future-threats-or-opportunities-dstl-student-essay-competition,,"Synthetic biology, Human activities, Biological warfare",eng,"crime, law and justice, economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>computing and information technology, science and technology, science and technology>natural science>biology, crime, law and justice>crime",10.1371/journal.pone.0188453
policyexchange-830c7e33cf073a14835a00f294bd2142,Unleashing Climate Capital,Publication,2021-10-29,https://policyexchange.org.uk/publication/unleashing-climate-capital/,,"Low-carbon economy, Climate security, Renewable energy",eng,"environment>natural resources, disaster, accident and emergency incident, politics, disaster, accident and emergency incident>disaster, environment, environment>natural resources>water, conflicts, war and peace, conflicts, war and peace>armed conflict, politics>government",10.1371/journal.pone.0188453
who-21e58fa0cb28e055c4cacde8da6855c0,Emerging technologies and dual-use concerns: a horizon scan for global public health,Publication,2021-10-22,https://apps.who.int/iris/handle/10665/346862,,"Biology, Life sciences, Misinformation",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology",10.1371/journal.pone.0188453
