unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_unique_identifier
10.2900/7416543,Recommendations for preparedness planning for public health threats - Publications Office of the EU,Publication,2025-04-22,https://op.europa.eu/en/publication-detail/-/publication/09b49387-1feb-11f0-b1a3-01aa75ed71a1/language-en,,"Infection prevention and control, Disease, Governance",eng,"health>diseases and conditions, health, science and technology",10.2900/864473
10.2900/8449586,Surveillance and targeted testing for the early detection of zoonotic influenza in humans during the winter period in the EU/EEA - Publications Office of the EU,Publication,2024-11-11,https://op.europa.eu/en/publication-detail/-/publication/7d3a93e9-a0aa-11ef-85f0-01aa75ed71a1/language-en,,"Influenza, Avian influenza, Influenza A virus subtype H5N1",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health",10.2900/864473
10.2900/671562,Enhanced surveillance of severe avian influenza virus infections in hospital settings in the EU/EEA - Publications Office of the EU,Publication,2024-08-07,https://op.europa.eu/en/publication-detail/-/publication/4b0d63fb-552e-11ef-acbc-01aa75ed71a1/language-en,,"Medicine, Health sciences, Medical specialties",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.2900/864473
10.2900/162049,Consolidated annual activity report 2023 - Publications Office of the EU,Publication,2024-07-15,https://op.europa.eu/en/publication-detail/-/publication/b278cee3-43e8-11ef-865a-01aa75ed71a1/language-en,,"Medicine, Medical specialties, Health sciences",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease",10.2900/864473
10.2900/776940,Mass gathering events and communicable diseases - Publications Office of the EU,Publication,2024-06-20,https://op.europa.eu/en/publication-detail/-/publication/4f0b1752-2f84-11ef-a61b-01aa75ed71a1/language-en,,"Health sciences, Public health, Health",eng,"health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, health>diseases and conditions>communicable disease",10.2900/864473
10.2900/864473,Survey report on laboratory capacity for molecular diagnosis and characterisation of zoonotic influenza viruses in human specimens in the EU/EEA and the Western Balkans - Publications Office of the EU,Publication,2023-12-19,https://op.europa.eu/en/publication-detail/-/publication/106ff114-9efd-11ee-b164-01aa75ed71a1/language-en,,"Medical specialties, Clinical medicine, Microbiology",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions, science and technology",10.2900/864473
10.2777/5771805,Unlocking the potential of dual-use research and innovation - Publications Office of the EU,Publication,2025-06-24,https://op.europa.eu/en/publication-detail/-/publication/e11c91be-5173-11f0-a9d0-01aa75ed71a1/language-en,,"Computer security, Export control, Regulatory compliance",eng,"economy, business and finance, economy, business and finance>economic sector, conflicts, war and peace, conflicts, war and peace>armed conflict, economy, business and finance>economic sector>computing and information technology",10.1787/0b55736e-en
10.2777/7159711,"RADAR, a system dynamics model - Publications Office of the EU",Publication,2025-02-18,https://op.europa.eu/en/publication-detail/-/publication/6cfc3e41-ee71-11ef-b5e9-01aa75ed71a1/language-en,,"Innovation, Dynamic stochastic general equilibrium, Policy",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>social sciences, science and technology, science and technology>social sciences>economics, economy, business and finance>economy, economy, business and finance>economic sector>energy and resource",10.1787/0b55736e-en
10.2760/9973206,The Education For Climate Coalition,Publication,2025-02-05,https://publications.jrc.ec.europa.eu/repository/handle/JRC140761,,"Education, Climate change education, Web analytics",eng,"society, education>school, education, environment, education>school>further education, environment>climate change, society>communities",10.1787/0b55736e-en
10.1787/898bca89-en,Designing Effective Governance to Enable Mission Success,Working paper,2024-12-06,https://dx.doi.org/https://doi.org/10.1787/898bca89-en,,"Governance, Theory of Change, Policy",eng,"economy, business and finance, economy, business and finance>business information, economy, business and finance>business information>human resources, science and technology>social sciences, science and technology, environment, economy, business and finance>business information>human resources>management, science and technology>social sciences>economics, economy, business and finance>economy, politics",10.1787/0b55736e-en
10.1787/fe8e1010-fr,OECD Digital Economy Outlook 2024 (Volume 2),Publication,2024-12-06,https://dx.doi.org/https://doi.org/10.1787/fe8e1010-fr,,"Broadband, Information and communications technology, 5G",fre,"economy, business and finance, economy, business and finance>business information, economy, business and finance>business information>human resources, economy, business and finance>economic sector, economy, business and finance>economy, science and technology, economy, business and finance>economic sector>media, economy, business and finance>business information>human resources>management, economy, business and finance>economic sector>computing and information technology",10.1787/0b55736e-en
10.1787/5efdbc5c-en,Mission-Oriented Innovation Policies for Net Zero,Publication,2024-11-22,https://dx.doi.org/https://doi.org/10.1787/5efdbc5c-en,,"Theory of Change, Net zero emissions, Governance",eng,"environment, science and technology, environment>climate change, politics",10.1787/0b55736e-en
10.1787/3adf705b-en,OECD Digital Economy Outlook 2024 (Volume 2),Publication,2024-11-19,https://dx.doi.org/https://doi.org/10.1787/3adf705b-en,,"Internet access, Governance, Fiber to the x",eng,"economy, business and finance, economy, business and finance>economy, science and technology",10.1787/0b55736e-en
10.2777/45191,Addressing European research and innovation challenges for system transitions in energy and mobility - Publications Office of the EU,Publication,2024-11-08,https://op.europa.eu/en/publication-detail/-/publication/46e16a85-9d7f-11ef-85f0-01aa75ed71a1/language-en,,"Renewable energy, Climate change mitigation, Wind power",eng,"economy, business and finance>economic sector>energy and resource, economy, business and finance, economy, business and finance>economic sector, environment>natural resources, environment, environment>natural resources>renewable energy, science and technology, economy, business and finance>economic sector>transport",10.1787/0b55736e-en
10.1787/5e4c3204-en,Monitoring and evaluation of mission-oriented innovation policies,Working paper,2024-10-28,https://dx.doi.org/https://doi.org/10.1787/5e4c3204-en,,"Theory of Change, Evaluation, Governance",eng,"education>teaching and learning, science and technology>social sciences, science and technology, education, science and technology>social sciences>economics, education>teaching and learning>examination",10.1787/0b55736e-en
10.2777/0665965,"Align, act, accelerate - Publications Office of the EU",Publication,2024-10-16,https://op.europa.eu/en/publication-detail/-/publication/2f9fc221-86bb-11ef-a67d-01aa75ed71a1/language-en,,"Framework Programmes for Research and Technological Development, European Union, Innovation",eng,"economy, business and finance, economy, business and finance>business information, economy, business and finance>business information>strategy and marketing, politics, economy, business and finance>economy, science and technology, politics>government, economy, business and finance>business information>strategy and marketing>patent, copyright and trademark",10.1787/0b55736e-en
10.1787/61244acd-en,Reviving productivity growth,Working paper,2024-10-07,https://dx.doi.org/https://doi.org/10.1787/61244acd-en,,"Productivity, Economic growth, Innovation",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economy>macro economics, economy, business and finance>economy>macro economics>economic indicator, economy, business and finance>economy, economy, business and finance>economy>macro economics>economic indicator>productivity, science and technology, economy, business and finance>economic sector>computing and information technology, labour",10.1787/0b55736e-en
10.1787/c1d93d1c-en,How do governments direct support for innovation?,Working paper,2024-09-17,https://dx.doi.org/https://doi.org/10.1787/c1d93d1c-en,,"Innovation, Tax, Policy",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>financial and business service, politics>government policy, science and technology>social sciences, science and technology, economy, business and finance>economy, science and technology>social sciences>economics, economy, business and finance>economic sector>financial and business service>personal income, politics>government policy>taxation, politics",10.1787/0b55736e-en
10.1787/af121c8f-en,Policy approaches to reduce inequalities while boosting productivity growth,Working paper,2024-09-05,https://dx.doi.org/https://doi.org/10.1787/af121c8f-en,,"Economic inequality, Tax, Redistribution of income and wealth",eng,"economy, business and finance, economy, business and finance>economy, labour, education, science and technology, politics",10.1787/0b55736e-en
10.1787/69c94bd4-en,OECD Contributions to the 2030 Agenda and Beyond,Publication,2024-07-17,https://dx.doi.org/https://doi.org/10.1787/69c94bd4-en,,"OECD, Sustainable Development Goals, Cost of living",eng,"economy, business and finance, economy, business and finance>economy, environment, politics>government, education, politics, science and technology",10.1787/0b55736e-en
10.1787/c243e16a-en,OECD Economic Surveys: Korea 2024,Publication,2024-07-11,https://dx.doi.org/https://doi.org/10.1787/c243e16a-en,,"Inflation, Fiscal policy, Government budget balance",eng,"economy, business and finance, economy, business and finance>economy>macro economics, economy, business and finance>economy, economy, business and finance>economy>macro economics>inflation, science and technology, education",10.1787/0b55736e-en
10.1787/c0ce0e55-fr,OECD Programme for Transformative STI Policies,Working paper,2024-07-10,https://dx.doi.org/https://doi.org/10.1787/c0ce0e55-fr,,"Research, OECD, Innovation",fre,"economy, business and finance, economy, business and finance>business information, economy, business and finance>business information>human resources, education>school, economy, business and finance>economy, education, science and technology, science and technology>social sciences, economy, business and finance>business information>human resources>management, education>school>further education",10.1787/0b55736e-en
