core_doi,title,publication_date,type,primary_topic.display_name,primary_topic.subfield.display_name,primary_topic.domain.display_name,topics.display_name,topics.field.display_name,topics.domain.display_name,keywords.display_name,concepts.display_name,mesh.descriptor_name,mesh.qualifier_name,first_order_doi
10.1128/jvi.75.3.1205-1210.2001,Advances in Immunology,2001-01-01,article,Immune Cell Function and Interaction,Immunology,Life Sciences,Immune Cell Function and Interaction; T-cell and B-cell Immunology; Immunotherapy and Immune Responses,Immunology and Microbiology; Immunology and Microbiology; Immunology and Microbiology,Life Sciences; Life Sciences; Life Sciences,,Receptor; Chimeric antigen receptor; Biology; Antigen; Autoimmunity; Immunology; T-cell receptor; Cell biology; T cell; Immune system; Computational biology; Genetics,,,
10.1128/jvi.75.3.1205-1210.2001,Scientific Publication and Global Security,2011-08-02,article,Peace and Human Rights Education,Sociology and Political Science,Social Sciences,"Peace and Human Rights Education; Tourism, Volunteerism, and Development; Global Education and Multiculturalism",Social Sciences; Social Sciences; Social Sciences,Social Sciences; Social Sciences; Social Sciences,,Medicine; MEDLINE; Law; Political science,"Bioterrorism; Editorial Policies; Periodicals as Topic; Research; Security Measures; Bioterrorism; Diffusion of Innovation; Ethics, Research; Guidelines as Topic; Periodicals as Topic; Research",prevention & control; None; ethics; trends; None; None; None; None; None; None; None,10.1001/jama.2011.1083
10.1128/jvi.75.3.1205-1210.2001,Biotechnology and Bioterrorism,2005-04-11,other,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Microbial Inactivation Methods; Bacterial Genetics and Biotechnology,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Infectivity; Hardiness (plants),Infectivity; Biotechnology; Biology; Pathogenicity; Hardiness (plants); Computational biology; Engineering; Microbiology; Genetics; Virus; Cultivar; Horticulture,,,10.1002/0471686786.ebd0015
10.1128/jvi.75.3.1205-1210.2001,Biotechnology and Bioterrorism,2011-03-28,other,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Bacteriophages and microbial interactions; Viral Infections and Outbreaks Research,"Biochemistry, Genetics and Molecular Biology; Environmental Science; Medicine",Life Sciences; Physical Sciences; Health Sciences,Biological Warfare,Biotechnology; Biology; Biological warfare; Engineering; Computational biology; Biochemical engineering; Toxicology,,,10.1002/0471686786.ebd0015.pub2
10.1128/jvi.75.3.1205-1210.2001,Wie Fortschritte in der Biotechnologie missbraucht werden können: Biowaffen,2002-01-01,article,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,Bacillus and Francisella bacterial research; Viral gastroenteritis research and epidemiology; SARS-CoV-2 and COVID-19 Research,"Biochemistry, Genetics and Molecular Biology; Medicine; Medicine",Life Sciences; Health Sciences; Health Sciences,,Political science; Gynecology; Art; Medicine,,,10.1002/1521-415x(200201)32:1<58::aid-biuz58>3.0.co;2-y
10.1128/jvi.75.3.1205-1210.2001,Development of Countermeasures for Bioterrorism in the United States,2011-12-16,other,Bacillus and Francisella bacterial research,Molecular Biology,Life Sciences,"Bacillus and Francisella bacterial research; Biotechnology and Related Fields; Science, Research, and Medicine","Biochemistry, Genetics and Molecular Biology; Medicine; Medicine",Life Sciences; Health Sciences; Health Sciences,Biodefense; Biological Warfare,Biodefense; Incentive; Business; Biological warfare; Computer security; Risk analysis (engineering); Engineering; Political science; Medicine; Computer science; Law; Economics; Market economy; Pathology,,,10.1002/9780470571224.pse422
10.1128/jvi.75.3.1205-1210.2001,Pathogenesis of Viral Infections,2010-03-09,reference-entry,Herpesvirus Infections and Treatments,Epidemiology,Health Sciences,Herpesvirus Infections and Treatments; Virology and Viral Diseases; HIV Research and Treatment,Medicine; Medicine; Immunology and Microbiology,Health Sciences; Health Sciences; Life Sciences,Pathogenesis; Viral Pathogenesis,Pathogenesis; Virology; Viral pathogenesis; Biology; Computational biology; Medicine; Immunology; Virus; Viral replication,,,10.1002/9780470688618.taw0219
10.1128/jvi.75.3.1205-1210.2001,Poxviruses,2010-03-09,reference-entry,Poxvirus research and outbreaks,Virology,Life Sciences,Poxvirus research and outbreaks; Bacillus and Francisella bacterial research; Herpesvirus Infections and Treatments,"Immunology and Microbiology; Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Life Sciences; Health Sciences,Smallpox vaccine; Poxviridae; Orthopoxvirus; Variola virus; Identification; Monkeypox,Vaccinia; Smallpox; Virology; Smallpox vaccine; Poxviridae; Orthopoxvirus; Variola virus; Biology; Identification (biology); Virus; Monkeypox; Vaccination; Gene; Genetics; Ecology; Recombinant DNA,,,10.1002/9780470688618.taw0236
10.1128/jvi.75.3.1205-1210.2001,ADVANCES IN DETECTING AND RESPONDING TO THREATS FROM BIOTERRORISM AND EMERGING VIRAL INFECTIONS,2013-10-15,other,Zoonotic diseases and public health,"Public Health, Environmental and Occupational Health",Health Sciences,Zoonotic diseases and public health; Viral Infections and Vectors; Animal Disease Management and Epidemiology,Medicine; Medicine; Agricultural and Biological Sciences,Health Sciences; Health Sciences; Life Sciences,Biological Warfare; Pandemic,Biological warfare; Pandemic; Terrorism; Virology; Population; Infectious disease (medical specialty); Public health; Disease; Biology; Coronavirus disease 2019 (COVID-19); Environmental health; Medicine; Geography; Pathology; Toxicology; Archaeology,,,10.1002/9781118297469.ch15
10.1128/jvi.75.3.1205-1210.2001,Using Reverse Genetics to Improve Influenza Vaccines,2012-10-07,other,Influenza Virus Research Studies,Epidemiology,Health Sciences,Influenza Virus Research Studies; Animal Disease Management and Epidemiology; Viral gastroenteritis research and epidemiology,Medicine; Agricultural and Biological Sciences; Medicine,Health Sciences; Life Sciences; Health Sciences,Reverse Genetics,Reverse genetics; Immunogenicity; Virology; Biology; Recombinant DNA; Virus; Genetics; Computational biology; Gene; Genome; Immune system,,,10.1002/9781118405338.ch8
