unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_doi
10.5089/9798400258732.005,IMF Engagement on Health Spending Issues in Surveillance and Program Work,Publication,2023-12-22,https://elibrary.imf.org/view/journals/005/2023/008/005.2023.issue-008-en.xml,,"International Monetary Fund, Health, Health care",eng,"economy, business and finance, economy, business and finance>business information, politics, health, health>diseases and conditions, politics>government, economy, business and finance>economy, economy, business and finance>business information>human resources",10.3389/fimmu.2019.00549
10.22740/kdi.ps.2021.11,KOR A Study on Effective Innovation Policy: Focusing on Vaccine R&D,Publication,2021-12-31,https://www.kdi.re.kr/eng/research/reportView?pub_no=17483,,"Immune system, Clinical trial, Medical specialties",kor,"health>diseases and conditions>communicable disease, health>health treatment, health>diseases and conditions, health, science and technology, health>health treatment>medicine, health>diseases and conditions>communicable disease>epidemic",10.3389/fimmu.2019.00549
10.5089/9781513544595.022,"Finance & Development, September 2020",Publication,2020-09-01,https://elibrary.imf.org/view/journals/022/0057/003/022.0057.issue-003-en.xml,United States,"Risk, Bank, Health",eng,"economy, business and finance, economy, business and finance>economy>macro economics, health, economy, business and finance>economy, economy, business and finance>economy>macro economics>credit and debt, health>diseases and conditions, science and technology",10.3389/fimmu.2019.00549
10.5694/mja2.51831,"The representation of women on Australian clinical practice guideline panels, 2010–2020",Clinical guidance,2023-01-04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10953318/pdf,,"Health, Gender, Medical guideline",eng,"science and technology>research, health, science and technology, health>diseases and conditions, science and technology>research>medical research",10.1016/s0140-6736(18)33135-0
10.15585/mmwr.mm7122e1,"Use of JYNNEOS (Smallpox and Monkeypox Vaccine, Live, Nonreplicating) for Preexposure Vaccination of Persons at Risk for Occupational Exposure to Orthopoxviruses: Recommendations of the Advisory Committee on Immunization Practices — United States, 2022",Clinical guidance,2022-01-01,https://stacks.cdc.gov/view/cdc/118558,,"Smallpox vaccine, Orthopoxvirus, Vaccinia",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.1056/nejmoa1817307
10.1002/14651858.cd015769,Therapeutics for treating mpox in humans,Clinical guidance,2023-03-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10012405/pdf,,"Mpox, Systematic review, Randomized controlled trial",eng,"science and technology>biomedical science, health>diseases and conditions, health>diseases and conditions>illness, science and technology>biomedical science>pharmacology, health, science and technology",10.1128/msphere.00927-20
10.15585/mmwr.mm7122e1,"Use of JYNNEOS (Smallpox and Monkeypox Vaccine, Live, Nonreplicating) for Preexposure Vaccination of Persons at Risk for Occupational Exposure to Orthopoxviruses: Recommendations of the Advisory Committee on Immunization Practices — United States, 2022",Clinical guidance,2022-01-01,https://stacks.cdc.gov/view/cdc/118558,,"Smallpox vaccine, Orthopoxvirus, Vaccinia",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease, health",10.3390/vaccines8030396
10.4060/cb5798en,How to mainstream sustainability and circularity into the bioeconomy?,Publication,2021-01-01,https://openknowledge.fao.org/handle/20.500.14283/CB5798EN,"1 - Продукты знаний, Publicaciones, value chains","Agriculture, Biobased economy, Sustainable Development Goal 17",eng,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, economy, business and finance>economic sector>agriculture, science and technology, lifestyle and leisure>lifestyle>food and drink, lifestyle and leisure>lifestyle>food and drink>organic food, environment",10.1080/10643389.2019.1579628
10.1787/0b55736e-en,"OECD Science, Technology and Innovation Outlook 2023",Publication,2023-03-16,https://dx.doi.org/https://doi.org/10.1787/0b55736e-en,,"Clinical trial, Innovation, Research and development",eng,"economy, business and finance, health, science and technology>natural science, economy, business and finance>economy, health>diseases and conditions, science and technology, science and technology>natural science>biology, education",10.1016/j.jobb.2022.02.002
10.18449/2024s19,»Equity« as a new guiding principle of international law in pandemics,Publication,2024-08-06,https://www.swp-berlin.org/en/publication/equity-als-neues-voelkerrechtliches-leitprinzip-in-pandemien,,"World Health Organization, TRIPS Agreement, COVAX",ger,"crime, law and justice>judiciary, crime, law and justice, health, health>diseases and conditions, crime, law and justice>judiciary>court",10.1126/science.abb9342
