Overton id,Title,Translated title,Document type,Published_on,Document URL,Source specific tags,Top topics,Languages,Document theme,Policy Document DOIs
govuk-a835b221483ac563bc689f5c91d4a289,Influenza A (H5) in non-human mammals,,Publication,2024-12-04,https://www.gov.uk/government/publications/influenza-a-h5-in-non-human-mammals,,"Medical specialties, Epidemiology, Microbiology",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology",
cset-f31757b077187b5dc43845d1a78b406c,Understanding the Global Gain-of-Function Research Landscape,,Publication,2023-08-01,https://cset.georgetown.edu/publication/understanding-the-global-gain-of-function-research-landscape/,,"Microbiology, Health, Medical specialties",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",
gpogov-8ceec3c0acdf7e3db26312401ef3869a,"""A complex and grave situation"" : a political chronology of the SARS-CoV-2 outbreak.",,Publication,2023-05-15,https://purl.fdlp.gov/GPO/gpo212742,,"Health, Biology, Chinese Communist Party",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology",
ecdc-94ab2cbdb09b9268757f3deea063eb64,Avian influenza overview December 2022 – March 2023,,Publication,2023-03-13,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-december-2022-march-2023,,"Animals, Zoonosis, Virus",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health",
randcorporation-9528b18dddbae0028543790ac9330f60,Lessons Learned from the COVID-19 Outbreak,,Publication,2022-11-01,https://www.rand.org/pubs/perspectives/PEA1481-2.html,"International Security and Defense Policy Center, RAND National Security Research Division","COVID-19 pandemic, World Health Organization, Biosecurity",eng,"science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology",
who-21e58fa0cb28e055c4cacde8da6855c0,Emerging technologies and dual-use concerns: a horizon scan for global public health,,Publication,2021-10-22,https://apps.who.int/iris/handle/10665/346862,,"Biology, Life sciences, Misinformation",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology",
committee_house-b5542ccd0a14807db5ec795b16ebd05a,Biosecurity for the Future: Strengthening Deterrence and Detection,,Publication,2021-08-01,https://www.congress.gov/event/117th-congress/house-event/114290,"117th Congress (2021-2022), House Foreign Affairs","Severe acute respiratory syndrome coronavirus 2, Pandemic, Virology",eng,"health>diseases and conditions, science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology, health",
carnegieendowment-4dde15fadcc162e97942cc73f7ba46ac,"New Tech, New Threats, and New Governance Challenges: An Opportunity to Craft Smarter Responses?",,Publication,2019-08-28,https://carnegieendowment.org/2019/08/28/new-tech-new-threats-and-new-governance-challenges-opportunity-to-craft-smarter-responses-pub-79736,,"Artificial intelligence, Governance, Computer security",eng,"science and technology>natural science, science and technology, science and technology>natural science>biology, conflicts, war and peace, society, conflicts, war and peace>armed conflict, health, politics>government, politics, politics>international relations",
sipri-47bcf6145b2cd0aa1950f5da05201869,Bio Plus X: Arms Control and the Convergence of Biology and Emerging Technologies,,Publication,2019-03-01,https://www.sipri.org/publications/2019/other-publications/bio-plus-x-arms-control-and-convergence-biology-and-emerging-technologies,,"Artificial intelligence, Biosecurity, Machine learning",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology, science and technology>natural science>biology, economy, business and finance>economic sector>computing and information technology, health, health>diseases and conditions, education, science and technology>natural science",
governmentofcanada-b1107c749bf36be15ec3792a9f13e59d,Canadian biosafety guideline : dual-use in life science research.: HP45-22/2018E-PDF Publications - Canada.ca,,Publication,2018-07-02,http://publications.gc.ca/site/eng/9.894145/publication.html,,"Health, Wassenaar Arrangement, Biological agent",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology",
