Overton id,Title,Translated title,Document type,Published_on,Document URL,Source specific tags,Top topics,Languages,Document theme,Policy Document DOIs
governmentofisrael-d3fe52a7cecca2b4b3ed1098a83c51da,"סיכום מודיעין בריאות שבועי, נכון לתאריך - 15.05.2025","Weekly Health Intelligence Summary, as of - 15.05.2025",Publication,2025-05-18,https://www.gov.il/he/pages/hi-weekly-15052025,,,heb,,
govuk-a835b221483ac563bc689f5c91d4a289,Influenza A (H5) in non-human mammals,,Publication,2024-12-04,https://www.gov.uk/government/publications/influenza-a-h5-in-non-human-mammals,,"Influenza A virus subtype H5N1, Influenza, Avian influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology",
europa-bf18480d9e87e67805924eed93a22261,Investigation protocol for potential human cases of avian influenza virus infection in the EU/EEA - Publications Office of the EU,,Publication,2024-01-08,https://op.europa.eu/en/publication-detail/-/publication/3b4234a6-af6b-11ee-b164-01aa75ed71a1/language-en,,"COVID-19 testing, Influenza, Zanamivir",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health",10.2900/207223
ecdc-3a1e4cd29e4ecd1a047de84eb958b9b9,Avian influenza overview September–December 2023,,Publication,2023-12-14,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-september-december-2023,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology, science and technology>natural science>biology>genetics",
ecdc-5747b9164d13179139df5ac248f59735,Investigation protocol of human cases of avian influenza virus infections in EU/EEA,,Publication,2023-12-14,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-investigation-protocol-human-cases,,"Influenza, Zanamivir, Avian influenza",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health",
cset-f31757b077187b5dc43845d1a78b406c,Understanding the Global Gain-of-Function Research Landscape,,Publication,2023-08-01,https://cset.georgetown.edu/publication/understanding-the-global-gain-of-function-research-landscape/,,"Gain-of-function research, Biosafety level, Virus",eng,"health, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",
parliamentofnetherlands-91241c8d82bb1c1491f17b0ce5e0bb7c,“ Preventie van efficiënte transmissie van zoönotische ziektekiemen tussen veehouderijbedrijven ”,“Prevention of efficient transmission of zoonotic pathogens between livestock farms”,Publication,2023-03-29,https://www.staten-generaal.nl/9370000/1/j4nvgs5kjg27kof_j9vvkfvj6b325az/vm1ups1akbzw,,"Avian influenza, SARS-CoV-2, Zoonosis",dut,"science and technology>natural science, health>diseases and conditions, health, science and technology, science and technology>natural science>biology",
oecddiscovery-e16cab89fa8fd90cdc6f12662a0ca5b3,"OECD Science, Technology and Innovation Outlook 2023",,Publication,2023-03-16,https://dx.doi.org/https://doi.org/10.1787/0b55736e-en,,"COVID-19 vaccine, Clinical trial, Innovation",eng,"economy, business and finance, health, science and technology>natural science, economy, business and finance>economy, health>diseases and conditions, science and technology, science and technology>natural science>biology, education",10.1787/0b55736e-en
ecdc-94ab2cbdb09b9268757f3deea063eb64,Avian influenza overview December 2022 – March 2023,,Publication,2023-03-13,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-december-2022-march-2023,,"Influenza A virus subtype H5N1, Avian influenza, Influenza",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health",
randcorporation-9528b18dddbae0028543790ac9330f60,Lessons Learned from the COVID-19 Outbreak,,Publication,2022-11-01,https://www.rand.org/pubs/perspectives/PEA1481-2.html,"International Security and Defense Policy Center, RAND National Security Research Division","Gain-of-function research, Biosafety, Biosafety level",eng,"science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology",
efsaeu-8202465d46ef542b61c520d25e1f4349,Avian influenza overview March – June 2022,,Publication,2022-06-30,https://www.efsa.europa.eu/en/efsajournal/pub/7415,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease",10.2903/j.efsa.2022.7415
ecdc-dfe06cab0ab3697b8b5c50d1d6b17fe6,Avian influenza overview March – June 2022,,Publication,2022-06-30,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-march-june-2022,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology>genetics, science and technology>natural science>biology",
efsaeu-98591bea9649fbae4f98b607263fdebd,Avian influenza overview December 2021 – March 2022,,Publication,2022-04-04,https://www.efsa.europa.eu/en/efsajournal/pub/7289,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics",10.2903/j.efsa.2022.7289
ecdc-5632edefffa59df2eeafc8b3ec4e817b,Avian influenza overview December 2021–March 2022,,Publication,2022-03-31,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-december-2021-march-2022,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, health>diseases and conditions, science and technology>natural science>biology>genetics, health",
efsaeu-31bb184c75b331836e0c17151387ecaa,Avian influenza overview September – December 2021,,Scholarly article,2021-12-23,https://www.efsa.europa.eu/en/efsajournal/pub/7108,,"Avian influenza, Influenza, Influenza A virus subtype H5N1",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health, science and technology>natural science>biology>genetics",10.2903/j.efsa.2021.7108
ecdc-28444d553f4d0263c2c6aeb73839fcc2,Avian influenza overview September – December 2021,,Scholarly article,2021-12-22,https://www.ecdc.europa.eu/en/publications-data/avian-influenza-overview-september-december-2021,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology>genetics, health",
govuk-0fee75b5b0a58aa2f9dbd604f23b5b8a,Future threats or opportunities: Dstl student essay competition,,Publication,2021-12-21,https://www.gov.uk/government/publications/future-threats-or-opportunities-dstl-student-essay-competition,,"Synthetic biology, Human activities, Biological warfare",eng,"crime, law and justice, economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>computing and information technology, science and technology, science and technology>natural science>biology, crime, law and justice>crime",
parliamentofnetherlands-eb6996fc2f389492c6fa2f731c6b1fda,Scientific report Art_31_ AI monitoring_March 2019,,Publication,2021-12-21,https://eerstekamer.nl/9370000/1/j4nvi0xeni9vr2l_j9vvkfvj6b325az/vlppklmmazxr/f=/vlpoj7nad1zy.pdf,,"Avian influenza, Influenza A virus subtype H5N1, Influenza",eng,"health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology>genetics, health",
