Overton id,Title,Translated title,Document type,Published_on,Document URL,Source specific tags,Top topics,Languages,Document theme,Policy Document DOIs
centerforanewamericansecurity-d93b7075dac279ef9b6cd59def4ed416,"AI and the Evolution of Biological National Security Risks: Capabilities, Thresholds, and Interventions",,Publication,2024-08-13,https://www.cnas.org/publications/reports/ai-and-the-evolution-of-biological-national-security-risks,,"Biology, COVID-19, Biosafety level",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions",
govdeptsspain-1bfd74b1dab748da3c0e54bb6ea85d1b,La Protección de la Fuerza ante las nuevas amenazas tecnológicas,The Protection of the Force against new technological threats,Publication,2024-01-15,https://emad.defensa.gob.es/Galerias/CCDC/files/Proteccion_fuerza_nuevas_amenazas_tecnologicas.pdf,,"Sound, Ultrasound, Optics",spa,"conflicts, war and peace, conflicts, war and peace>armed conflict, politics, politics>government, politics>government>defence, politics>government>defence>military equipment, science and technology>natural science, politics>government>defence>military equipment>military weaponry, science and technology, science and technology>natural science>biology, science and technology>natural science>physics",
who-269e5872975525599bc2ffaddd1d011e,全球指导框架: 负责任地使用生命科学: 减轻生物风险，治理双重用途研究,"Global Guiding Framework: Responsible Use of Life Sciences: Mitigating Biological Risks, Governing Dual-Use Research",Publication,2023-06-14,https://apps.who.int/iris/handle/10665/369236,,"Human, Governance, Risk management",chi,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, health, economy, business and finance>economic sector>computing and information technology",
who-083c2a2238ce6b3cd059c032a7e92b40,Cadre d’orientation mondial pour l’usage responsable des sciences de la vie : atténuer les risques biologiques et régir la recherche duale,Global policy framework for the responsible use of life sciences: mitigating biological risks and governing dual research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369131,,"Risk management, Sustainable Development Goals, Branches of science",fre,"science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, health>diseases and conditions, science and technology, science and technology>natural science>biology>genetics, health, health>diseases and conditions>communicable disease>virus disease",
who-4edc91b17fa672bc52fdef05a27b0791,إطار توجيهي عالمي بشأن الاستخدام المسؤول لعلوم الحياة: الحدّ من المخاطر البيولوجّية وتنظيم البحوث المزدوجة الاستخدام,A global guideline framework for the responsible use of the life sciences: reducing biological risks and regulating dual-use research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369130,,"Biological agent, Science, Ecology",ara,"economy, business and finance, economy, business and finance>economic sector, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, health, health>diseases and conditions, science and technology, science and technology>natural science>biology, economy, business and finance>economic sector>computing and information technology, lifestyle and leisure>lifestyle>food and drink",
who-7f17601c4d68f6e97900f13184888703,Глобальные руководящие принципы ответственного использования медико-биологических исследований: снижение биологических рисков и управление исследованиями двойного назначения,Global Guidelines for the Responsible Use of Life Sciences Research: Biological Risk Reduction and Management of Dual Use Research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369132,,"Health, Disease, Creative Commons license",rus,"science and technology>natural science, science and technology>natural science>biology, science and technology, health>diseases and conditions, health, science and technology>natural science>biology>genetics",
who-2328628190847b6aedf513fff1ba338d,Marco de orientación mundial para el uso responsable de las ciencias biológicas: reducción de los riesgos biológicos y gobernanza de la investigación de doble uso,Global Guidance Framework for Responsible Use of Life Sciences: Biohazard Reduction and Governance of Dual-Use Research,Publication,2023-06-09,https://apps.who.int/iris/handle/10665/368979,,"Infodemic, Governance, United Nations Security Council Resolution 1540",spa,"lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, science and technology>natural science>biology, science and technology, health>diseases and conditions, health, science and technology>natural science>biology>genetics, lifestyle and leisure>lifestyle>food and drink",
who-aa3ec977c0703d631c5009c21f3c2496,Quadro mundial de orientação para a utilização responsável das ciências da vida: mitigar os riscos biológicos e reger a investigação de dupla utilização,Global guidance framework for the responsible use of life sciences: mitigating biological risks and governing dual-use research,Publication,2023-01-01,https://apps.who.int/iris/handle/10665/374885,2. Regional Office for Africa,"Science, Biology, Life",por,"science and technology>natural science>biology, science and technology>natural science, science and technology, science and technology>natural science>biology>genetics, health>diseases and conditions, health, science and technology>social sciences",
interacademies-87ccbd94e76c0729d54d394ee120e1d4,Global guidance framework for the responsible use of the life sciences,,Publication,2022-09-12,https://www.interacademies.org/publication/global-guidance-framework-responsible-use-life-sciences,,"Genetically modified organism, Chemical weapon, Gain-of-function research",eng,"science and technology>natural science, science and technology>research, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions, health, science and technology>research>medical research",
who-f6488bdadd89245cefef23285bb10d1b,Global guidance framework for the responsible use of the life sciences: mitigating biorisks and governing dual-use research,,Publication,2022-09-07,https://apps.who.int/iris/handle/10665/362313,,"Good governance, Biosecurity, Governance",eng,"science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, health, science and technology>natural science>biology>genetics",
govuk-0fee75b5b0a58aa2f9dbd604f23b5b8a,Future threats or opportunities: Dstl student essay competition,,Publication,2021-12-21,https://www.gov.uk/government/publications/future-threats-or-opportunities-dstl-student-essay-competition,,"Synthetic biology, Human activities, Biological warfare",eng,"crime, law and justice, economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>computing and information technology, science and technology, science and technology>natural science>biology, crime, law and justice>crime",
who-21e58fa0cb28e055c4cacde8da6855c0,Emerging technologies and dual-use concerns: a horizon scan for global public health,,Publication,2021-10-22,https://apps.who.int/iris/handle/10665/346862,,"Biosecurity, Synthetic biology, Governance",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology",
governmentofperu-4a300594e25ea7923eae6b16d840da8b,Biosafety in Microbiological and Biomedical Laboratories—6th Edition,,Publication,2020-12-11,https://www.minsa.gob.pe/Recursos/OTRANS/08Proyectos/2022/Biosafety%20in%20Microbiological%20and%20Biomedical%20Laboratories%206th%20edition.pdf,,"Safety, Health sciences, Microbiology",eng,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health>diseases and conditions>illness, science and technology>natural science>biology, health",
governmentofperu-86bca9185ca1db6c6fb8e73f804879d7,Biosafety in Microbiological and Biomedical Laboratories—6th Edition,,Publication,2020-12-11,https://www.minsa.gob.pe/Recursos/OTRANS/08Proyectos/2023/nsec/Biosafety%20in%20Microbiological%20and%20Biomedical%20Laboratories%206th%20edition.pdf,,"Safety, Health sciences, Microbiology",eng,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, health>diseases and conditions>illness, science and technology>natural science>biology, health",
govsg-4a5384ac8a0ca17eb508dd56352f2dc7,Biosafety in Microbiological and Biomedical,,Publication,2020-11-19,https://www.moh.gov.sg/docs/librariesprovider7/useful-info-and-guidelines-documents/bmbl.pdf?sfvrsn=a55c1973_4,,"Pathogen transmission, Biosafety cabinet, Infection",eng,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health>diseases and conditions, science and technology>natural science>biology, health",
stateofvirginia-2920f94a6b472895ac00636ebb34a411,Biosafety in Microbiological and Biomedical,,Publication,2020-07-24,https://ris.dls.virginia.gov/uploads/16VAC25/DIBR/90050006457~2s.pdf,,"Microbiology, Health, Infectious diseases",eng,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness, health>diseases and conditions, science and technology>natural science>biology, health",
governmentofcanada-b1107c749bf36be15ec3792a9f13e59d,Canadian biosafety guideline : dual-use in life science research.: HP45-22/2018E-PDF Publications - Canada.ca,,Publication,2018-07-02,http://publications.gc.ca/site/eng/9.894145/publication.html,,"Biosecurity, Biosafety, Dual-use technology",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology",
who-cc0eac1b72ccd12e7cfae4a5c13bb743,Governance of dual-use research: an ethical dilemma,,Publication,2018-03-26,https://apps.who.int/iris/handle/10665/270508,,"Virus, Dual-use technology, Research",eng,"science and technology>natural science, health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, science and technology, science and technology>natural science>biology, health, science and technology>natural science>biology>genetics",
govdeptsaustria-59443ee6b0e02b83a252c609b8e88c1f,Tomorrow ’ s Technology,,Publication,2018-03-22,https://www.bmlv.gv.at/pdf_pool/publikationen/buch_dengg_tomorrows_technology_web.pdf,,"Bioterrorism, Technological singularity, Genome editing",eng,"economy, business and finance, economy, business and finance>economic sector, health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, economy, business and finance>economic sector>computing and information technology, health>diseases and conditions>communicable disease>virus disease, conflicts, war and peace",
kcdc-e56ff0b38fd48617189347e3134fa738,질병관리청,Centers for Disease Control and Prevention,Clinical guidance,2017-10-19,https://www.kdca.go.kr/board/board.es?mid=a20602010000&bid=0034&list_no=76632&act=view,,"Biology, Life sciences, Influenza A virus subtype H1N1",kor,"health>diseases and conditions, health>diseases and conditions>communicable disease, health>health treatment, science and technology>natural science>biology, science and technology>natural science, health, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health>health treatment>medicine",
adminch-38e3d835df436c76a2f966e4b864467d,Viral Vector Systems in Molecular Biology - Risk Assessment and Literature Review,,Publication,2017-02-13,https://www.bag.admin.ch/dam/bag/de/dokumente/biomed/biologische-sicherheit/virale-vektorsysteme-molekularbiologie-risikobewertung-literaturzusammenstellung.pdf.download.pdf/virale-vektorsysteme-molekularbiologie-risikobewertung-literaturzusammenstellung.pdf,,"Viral vector, Oncolytic virus, Lentivirus",eng,"health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, science and technology, science and technology>natural science, health>diseases and conditions, science and technology>natural science>biology, health, science and technology>natural science>biology>genetics, health>health treatment",
adminch-c6ccb31c8fc46fd699fc9d8e230c22e9,Viral vector systems in molecular biology,,Publication,2017-02-13,https://www.bag.admin.ch/dam/bag/en/dokumente/biomed/biologische-sicherheit/virale-vektorsysteme-molekularbiologie-risikobewertung-literaturzusammenstellung.pdf.download.pdf/virale-vektorsysteme-molekularbiologie-risikobewertung-literaturzusammenstellung.pdf,,"Viral vector, Oncolytic virus, Virus",eng,"health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics, health>diseases and conditions",
europa-76b717c1c0ef56865e1fcc1e0103516b,Synthetic biology and biodiversity - Publications Office of the EU,,Publication,2016-09-12,https://op.europa.eu/en/publication-detail/-/publication/7f1e973a-dbc7-11ee-b9d9-01aa75ed71a1/language-en,,"Life sciences, Biotechnology, Animal husbandry",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease, lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, lifestyle and leisure>lifestyle>food and drink, health",10.2779/604233
tabde-d5c66a1587b61e8b39c2be111b3a2c40,Synthetische Biologie - die nächste Stufe der Bio- und Gentechnologie,Synthetic Biology - the next level of biotechnology and genetic engineering,Publication,2015-12-01,http://www.tab-beim-bundestag.de/de/pdf/publikationen/berichte/TAB-Arbeitsbericht-ab164.pdf,,"Technology assessment, Biology, Photosynthesis",ger,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science>biology, science and technology, economy, business and finance>economic sector>chemicals, science and technology>natural science>biology>genetics, science and technology>natural science, environment, environment>natural resources",
govuk-74072b2a080f79586a710c7f7194ce85,"Innovation: managing risk, not avoiding it",,Publication,2014-11-19,https://www.gov.uk/government/publications/innovation-managing-risk-not-avoiding-it,,"Risk, Automation, Immigration",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economy, environment, society, economy, business and finance>economic sector>transport, science and technology>natural science>biology, education, science and technology, society>values",
royalsociety-39a8e73d0a2fc1041505e0ee675e638f,The roles of codes of conduct in preventing the misuse of scientific research,,Publication,2014-03-12,https://royalsociety.org/topics-policy/publications/2005/misuse-scientific-research,,"Occupational safety and health, Research, Science",eng,"health>diseases and conditions>communicable disease, science and technology>natural science, science and technology, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, health>diseases and conditions, health, society, education",
royalsociety-62905743ad4b9592bff782d1f29dee75,FCO: 'Strengthening the Biological and Toxin Weapons Convention',,Publication,2014-03-12,https://royalsociety.org/topics-policy/publications/2002/biological-toxins-convention,,"Research, Science, Biological Weapons Convention",eng,"science and technology>natural science, science and technology, health, education, society, science and technology>natural science>biology, health>diseases and conditions",
royalsociety-9cd5acf679d46f6820a3d95ff7632d29,Do no harm: reducing the potential for the misuse of life science research,,Publication,2014-03-12,https://royalsociety.org/topics-policy/publications/2004/do-no-harm,,"Research, Bioterrorism, Risk",eng,"health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions, science and technology, health>diseases and conditions>communicable disease>virus disease, health, science and technology>natural science>biology, education, society",
royalsociety-cbcb21a78986a44ba39b21296ee4d6cd,New approaches to biological risk assessment,,Publication,2014-03-12,https://royalsociety.org/topics-policy/publications/2009/biological-risk,,"Risk management, Infection, Risk",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health, science and technology>natural science>biology, science and technology, health>diseases and conditions>illness",
councilonforeignrelations-f4513038da576ac3dd448c0a653737c1,H5N1: A Case Study for Dual-Use Research,,Publication,2013-07-15,https://www.cfr.org/report/h5n1,,"Influenza A virus subtype H5N1, Influenza pandemic, Influenza",eng,"health>diseases and conditions, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>epidemic, health>diseases and conditions>communicable disease>virus disease, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease>retrovirus, health>diseases and conditions>communicable disease",
parliamentofaustraliacc-aa9c6cbc8cc1d60c88dfc9b136b5c45e,Implementation of the Defence Trade Controls Legislation Submission 12,,Publication,2013-05-20,https://www.aph.gov.au/DocumentStore.ashx?id=7e78bfeb-3fd2-41c8-af9e-bcbad7f0eb75&subId=23372,,"Biosecurity, Dual-use technology, Research",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology, science and technology>natural science>biology>genetics",
stateofhawaiigov-c141d317eedfa8a1af6e96c2750092bb,"TESTIMONY OF RUSSELLS. KOKUBUN CHAIRPERSON, BOARD OF AGRICULTURE",,Publication,2013-03-20,https://www.capitol.hawaii.gov/Session2013/Testimony/HB174_HD2_TESTIMONY_AGL_CPN_HTH_03-21-13.pdf,,"Federal preemption, Genetic engineering, Genetically modified organism",eng,"economy, business and finance, economy, business and finance>economic sector>consumer goods, science and technology>natural science, science and technology>natural science>biology, health, science and technology, politics, politics>government, economy, business and finance>economic sector, economy, business and finance>economic sector>agriculture, economy, business and finance>economic sector>consumer goods>food",
congressionalresearch-3db2dd2942bbac383a25e975c1e0012e,Publishing Scientific Papers with Potential Security Risks: Issues for Congress,,Publication,2013-03-18,https://crsreports.congress.gov/product/pdf/download/R/R42606/R42606.pdf/,,"Influenza A virus subtype H5N1, Influenza, Influenza pandemic",eng,"science and technology>natural science, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, science and technology, science and technology>natural science>biology, health>diseases and conditions>communicable disease",
stateofhawaiigov-675a7e3cb89984e85b5149a2b213d845,House Committee on Finance HB 174,,Publication,2013-02-21,https://www.capitol.hawaii.gov/Session2013/Testimony/HB174_HD2_TESTIMONY_FIN_02-22-13_.PDF,,"Genetic engineering, Plant breeding, Substantial equivalence",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology>natural science>biology, science and technology, health, science and technology>natural science>biology>genetics, health>diseases and conditions, economy, business and finance>economic sector>chemicals",
pacforum-78162076915aeac9c0a7e6939fd68b99,Issues & Insights Vol. 12 - No. 11 - The Biosecurity Lexicon Project,,Publication,2012-11-01,https://www.pacforum.org/analysis/issues-insights-vol-12-no-11-biosecurity-lexicon-project,,"Genome, Life sciences, Biology",eng,"science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology, health, science and technology, health>diseases and conditions>communicable disease",
who-a712a73b69719e4c73fc639c82c4a39b,Responsible life sciences research for global health security: a guidance document,,Publication,2012-06-17,https://apps.who.int/iris/handle/10665/70507,,"Biosafety, Biosecurity, Research",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease>virus disease>retrovirus, health>diseases and conditions>communicable disease>epidemic, education, science and technology, society",
who-057e85c658f95c495dfc1e10207a7bae,Life science research : opportunities and risks for public health : mapping the issues,,Publication,2012-06-17,https://apps.who.int/iris/handle/10665/69142,,"Virus, Smallpox, Proteomics",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, health, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease>retrovirus, science and technology",
who-0de7a6224bb4bda15ceeadab6f80980a,"Research policy and management of risks in life sciences research for global health security : report of a meeting, Bangkok, Thailand, 10-12 December 2007",,Publication,2012-06-17,https://apps.who.int/iris/handle/10665/69943,,"Biosafety, Biosecurity, Biosafety level",eng,"health>diseases and conditions, science and technology, science and technology>natural science, health>diseases and conditions>communicable disease>epidemic, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease>virus disease>retrovirus, science and technology>natural science>biology, health>diseases and conditions>communicable disease",
who-c3dae261691c53fae78b9b5de9592ee4,Biorisk management : laboratory biosecurity guidance,,Publication,2012-06-17,https://apps.who.int/iris/handle/10665/69390,,,kor,,
governmentofhungary-f23294c9fec612136ab2870370a72a26,Gmo Myths And Truths,,Publication,2012-06-17,https://gmo.kormany.hu/akadalymentes/download/5/65/40000/GMO_Myths_and_Truths.pdf,,"Genetic engineering, Genetically modified organism, Plant breeding",eng,"lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology>natural science>biology, lifestyle and leisure>lifestyle>food and drink, science and technology, health",
