Overton id,Title,Translated title,Document type,Published_on,Document URL,Source specific tags,Top topics,Languages,Document theme,Policy Document DOIs
randcorporation-8435dd8a8dd0461232cb9f74ee9debf1,Securing Commercial Nucleic Acid Synthesis,,Publication,2024-07-01,https://www.rand.org/pubs/research_reports/RRA3329-1.html,"Meselson Center, RAND Global and Emerging Risks","Virus, Nucleic acid sequence, Artificial gene synthesis",eng,"economy, business and finance, economy, business and finance>economic sector, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health, economy, business and finance>economic sector>computing and information technology",
randcorporation-c3ba1dbc8785556bf4d85a2a8fbe3343,Does AI Increase the Operational Risk of Biological Attacks?,,Publication,2024-01-25,https://www.rand.org/pubs/research_reports/RRA2977-2.html,"Acquisition and Technology Policy Program, RAND Global and Emerging Risks","Internet, P-value, Technology",eng,"science and technology>natural science, conflicts, war and peace, health>diseases and conditions, health, science and technology, science and technology>natural science>biology, conflicts, war and peace>act of terror",
robertkochde-0b98996101759c57d6dab617b03ae425,Garder le contrôle,Keep control,Clinical guidance,2023-07-10,http://edoc.rki.de/176904/11211,"Amtliche Bekanntmachungen/Kommissionsveröffentlichungen, Bekanntmachungen des Robert Koch-Instituts, DDC 610, Open Access Set, Primus Set, published version, Report, textPublication","Amref Health Africa, Shanghai Cooperation Organisation, Dilemma",fre,"disaster, accident and emergency incident, health>diseases and conditions>communicable disease, health, health>diseases and conditions, disaster, accident and emergency incident>accident and emergency incident, science and technology, politics, health>diseases and conditions>communicable disease>virus disease",
govdeptsspain-a46876418f3e5e1819a0427c6abd06bc,La amenaza biológica. Cuaderno de Estrategia 217,The biological threat. Strategy Notebook 217,Publication,2023-02-14,https://publicaciones.defensa.gob.es/media/downloadable/files/links/l/a/la_amenaza_biologica.pdf,,"Biopreparat, Rickettsia, Bacteria",spa,"science and technology>natural science>biology, science and technology>natural science, health>diseases and conditions, science and technology>natural science>biology>genetics, health>diseases and conditions>illness, science and technology, health",
hcspfr-a60da3b08c9a203a20633df75976fcd0,Révision du plan de lutte contre la variole (décembre 2022),Review of the smallpox control plan (December 2022),Publication,2022-12-16,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1279,,"Health, Infectious diseases, Clinical medicine",fre,"health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",
hcspfr-f5c0833b69a397d7c5124e3b112599de,Révision du plan de lutte contre la variole (décembre 2022),Review of the smallpox control plan (December 2022),Publication,2022-12-16,https://www.hcsp.fr/Explore.cgi/avisrapportsdomaine?clefr=1278,,"Smallpox, Mpox, Zoonosis",fre,"health>diseases and conditions, health, health>diseases and conditions>illness, science and technology>natural science>biology, science and technology, science and technology>natural science, science and technology>natural science>biology>genetics",
govuk-0fee75b5b0a58aa2f9dbd604f23b5b8a,Future threats or opportunities: Dstl student essay competition,,Publication,2021-12-21,https://www.gov.uk/government/publications/future-threats-or-opportunities-dstl-student-essay-competition,,"Synthetic biology, Human activities, Biological warfare",eng,"crime, law and justice, economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, economy, business and finance>economic sector>computing and information technology, science and technology, science and technology>natural science>biology, crime, law and justice>crime",
policyexchange-830c7e33cf073a14835a00f294bd2142,Unleashing Climate Capital,,Publication,2021-10-29,https://policyexchange.org.uk/publication/unleashing-climate-capital/,,"Low-carbon economy, Climate security, Renewable energy",eng,"environment>natural resources, disaster, accident and emergency incident, politics, disaster, accident and emergency incident>disaster, environment, environment>natural resources>water, conflicts, war and peace, conflicts, war and peace>armed conflict, politics>government",
who-21e58fa0cb28e055c4cacde8da6855c0,Emerging technologies and dual-use concerns: a horizon scan for global public health,,Publication,2021-10-22,https://apps.who.int/iris/handle/10665/346862,,"Biology, Life sciences, Misinformation",eng,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, science and technology",
acola-37016de5152a3b908d11bfe5e8b88bf5,The effective and ethical development of artificial intelligence: An opportunity to improve our wellbeing,,Publication,2019-07-04,https://acola.org/hs4-artificial-intelligence-australia/,,"Artificial general intelligence, Automation, Cyberwarfare",eng,"economy, business and finance, economy, business and finance>economic sector, economy, business and finance>economic sector>computing and information technology, science and technology, conflicts, war and peace, economy, business and finance>economic sector>computing and information technology>software, conflicts, war and peace>armed conflict",
