altmetric_id,doi,source_type,title,url,posted_on,summary,first_order_doi
605598,10.1128/JVI.75.3.1205-1210.2001,blogs,TWiV 112: Creating a killer poxvirus,http://feedproxy.google.com/~r/VirologyBlog/~3/7moT8wzV5QU/,2010-12-19T18:45:01+00:00,"Hosts: Vincent Racaniello, Alan Dove, and Rich Condit On episode #112 of the podcast This Week in Virology, Vincent, Alan, and Rich review the making of a virulent poxvirus by insertion of the gene encoding IL-4, and severe 2009 H1N1 influenza due to path...",
605598,10.1128/JVI.75.3.1205-1210.2001,blogs,Dilemas de Biopeligrosidad,http://amazings.es/2012/02/15/dilemas-de-biopeligrosidad/,2012-02-15T08:30:00+00:00,"Ian Ramshaw | Imagen - Biosecurity.edu.au Hace diez años, Ian Ramshaw, investigador de la John Curtis School of Medicine, descolgó el teléfono a un hombre de avanzada edad que llamaba desde Londres. El anciano, que decía ser científico, le llamaba “para a...",
605598,10.1128/JVI.75.3.1205-1210.2001,blogs,The Five Biggest Threats To Human Existence,http://feeds.popsci.com/c/34567/f/632422/s/3af47640/sc/38/l/0L0Spopsci0N0Carticle0Cscience0Cfive0Ebiggest0Ethreats0Ehuman0Eexistence/story01.htm,2014-05-29T15:00:00+00:00,"Other ways humanity could end are more subtle.   United States Department of Energy   In the daily hubbub of current &ldquo;crises&rdquo; facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years fr...",
605598,10.1128/JVI.75.3.1205-1210.2001,blogs,The 5 Biggest Threats To Human Existence,http://io9.com/the-5-biggest-threats-to-human-existence-1584438233,2014-06-01T16:00:00+00:00,"In the daily hubbub of current &ldquo;crises&rdquo; facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years from now, but 1,000 or 10,000 years from now. Read more...",
605598,10.1128/JVI.75.3.1205-1210.2001,blogs,The five biggest threats to human existence,http://www.technology.org/2014/06/02/five-biggest-threats-human-existence/,2014-06-02T11:05:00+00:00,"Other ways humanity could end are more subtle.&nbsp;United States Department of Energy,&nbsp;CC BY In the daily hubbub of current &ldquo;crises&rdquo; facing humanity, we forget about the many generations we hope are yet to come. Not those who will live...",
605598,10.1128/JVI.75.3.1205-1210.2001,blogs,Obama’s Science Advisors Are Worried About Future CRISPR Terrorism,http://motherboard.vice.com/read/obamas-science-advisors-are-worried-about-future-crispr-terrorism,2016-11-21T11:00:00+00:00,"Last week the President&rsquo;s Council of Advisors on Science and Technology (PCAST), which consists of 18 scientists and policy experts in various disciplines, issued a letter to President Obama on the potential emergence of new forms of bioterrorism....",
605598,10.1128/JVI.75.3.1205-1210.2001,video,5 Sci-Fi Dystopias That Could Really Happen,https://www.youtube.com/watch?v=Ak7TUxGkUUs,2019-04-28T21:00:00+00:00,Go to http://curiositystream.com/scishow to start streaming Curious Minds: Nanotechnology. Use the promo code scishow during the sign-up process to get your first 31 days free.   Disaster and dystopia movies are extremely popular these days—the good part ...,
605598,10.1128/JVI.75.3.1205-1210.2001,news,The Five Biggest Threats To Human Existence,http://www.popsci.com/article/science/five-biggest-threats-human-existence,2014-05-29T15:00:49+00:00,"Other ways humanity could end are more subtle. United States Department of Energy In the daily hubbub of current “crises” facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years from now, but 1,000 ...",
605598,10.1128/JVI.75.3.1205-1210.2001,news,Here are the five biggest threats to human existence,http://www.rawstory.com/rs/2014/05/30/here-are-the-five-biggest-threats-to-human-existence/,2014-05-30T14:25:25+00:00,"By Anders Sandberg, University of Oxford In the daily hubbub of current “crises” facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years from now, but 1,000 or 10,000 years from now. I use the word ...",
605598,10.1128/JVI.75.3.1205-1210.2001,news,The five biggest threats to human existence,http://phys.org/news/2014-05-biggest-threats-human.html,2014-05-29T12:00:03+00:00,"In the daily hubbub of current ""crises"" facing humanity, we forget about the many generations we hope are yet to come. Not those who will live 200 years from now, but 1,000 or 10,000 years from now. I use the word ""hope"" because we face risks, called ex...",
