first_order_doi,Overton id,Title,Translated title,Document type,Published_on,Document URL,Source specific tags,Top topics,Languages,Document theme,Policy Document DOIs
10.17226/12958,who-269e5872975525599bc2ffaddd1d011e,全球指导框架: 负责任地使用生命科学: 减轻生物风险，治理双重用途研究,"Global Guiding Framework: Responsible Use of Life Sciences: Mitigating Biological Risks, Governing Dual-Use Research",Publication,2023-06-14,https://apps.who.int/iris/handle/10665/369236,,"Governance, Risk management, Risk",chi,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, health, economy, business and finance>economic sector>computing and information technology",
10.17226/12958,who-083c2a2238ce6b3cd059c032a7e92b40,Cadre d’orientation mondial pour l’usage responsable des sciences de la vie : atténuer les risques biologiques et régir la recherche duale,Global policy framework for the responsible use of life sciences: mitigating biological risks and governing dual research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369131,,"Governance, Safety, Natural environment",fre,"science and technology>natural science, health>diseases and conditions>communicable disease, science and technology>natural science>biology, health>diseases and conditions, science and technology, science and technology>natural science>biology>genetics, health, health>diseases and conditions>communicable disease>virus disease",
10.17226/12958,who-7f17601c4d68f6e97900f13184888703,Глобальные руководящие принципы ответственного использования медико-биологических исследований: снижение биологических рисков и управление исследованиями двойного назначения,Global Guidelines for the Responsible Use of Life Sciences Research: Biological Risk Reduction and Management of Dual Use Research,Publication,2023-06-13,https://apps.who.int/iris/handle/10665/369132,,"Health, Disease, Creative Commons license",rus,"science and technology>natural science, science and technology>natural science>biology, science and technology, health>diseases and conditions, health, science and technology>natural science>biology>genetics",
10.17226/12958,who-2328628190847b6aedf513fff1ba338d,Marco de orientación mundial para el uso responsable de las ciencias biológicas: reducción de los riesgos biológicos y gobernanza de la investigación de doble uso,Global Guidance Framework for Responsible Use of Life Sciences: Biohazard Reduction and Governance of Dual-Use Research,Publication,2023-06-09,https://apps.who.int/iris/handle/10665/368979,,"Infodemic, Governance, United Nations Security Council Resolution 1540",spa,"lifestyle and leisure, lifestyle and leisure>lifestyle, science and technology>natural science, science and technology>natural science>biology, science and technology, health>diseases and conditions, health, science and technology>natural science>biology>genetics, lifestyle and leisure>lifestyle>food and drink",
10.17226/12958,who-aa3ec977c0703d631c5009c21f3c2496,Quadro mundial de orientação para a utilização responsável das ciências da vida: mitigar os riscos biológicos e reger a investigação de dupla utilização,Global guidance framework for the responsible use of life sciences: mitigating biological risks and governing dual-use research,Publication,2023-01-01,https://apps.who.int/iris/handle/10665/374885,2. Regional Office for Africa,"Branches of science, Disease, Biological warfare",por,"science and technology>natural science>biology, science and technology>natural science, science and technology, science and technology>natural science>biology>genetics, health>diseases and conditions, health, science and technology>social sciences",
10.17226/12958,interacademies-87ccbd94e76c0729d54d394ee120e1d4,Global guidance framework for the responsible use of the life sciences,,Publication,2022-09-12,https://www.interacademies.org/publication/global-guidance-framework-responsible-use-life-sciences,,"Genetically modified organism, Chemical weapon, Gain-of-function research",eng,"science and technology>natural science, science and technology>research, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions, health, science and technology>research>medical research",
10.17226/12958,who-f6488bdadd89245cefef23285bb10d1b,Global guidance framework for the responsible use of the life sciences: mitigating biorisks and governing dual-use research,,Publication,2022-09-07,https://apps.who.int/iris/handle/10665/362313,,"Biosecurity, Governance, Biosafety",eng,"science and technology>natural science, science and technology>natural science>biology, health>diseases and conditions, science and technology, health, science and technology>natural science>biology>genetics",
10.17226/12958,who-247cfc212d79d368e6c78a65ac170a84,"Towards a global guidance framework for the responsible use of life sciences: summary report of consultations on the principles, gaps and challenges of biorisk management, May 2022",,Publication,2022-05-30,https://apps.who.int/iris/handle/10665/354600,,"Biosecurity, Biosafety, Governance",eng,"science and technology>natural science, education, science and technology, health, society, science and technology>natural science>biology",
10.17226/12958,interacademies-6ae7ea78d5862326c5fa400fae367529,Towards a global guidance framework for the responsible use of life sciences,,Publication,2022-05-26,https://www.interacademies.org/publication/towards-global-guidance-framework-responsible-use-life-sciences,,"Safety, Management, Research",eng,"science and technology>natural science, education, science and technology, science and technology>natural science>biology, health, science and technology>natural science>biology>genetics",
10.17226/12958,interacademies-dd57282dc5b6a66fa066a719bf0dc915,"Towards a global guidance framework for the responsible use of life sciences: summary report of consultations on the principles, gaps and challenges of biorisk management, May 2022",,Publication,2022-05-26,https://www.interacademies.org/publication/towards-global-guidance-framework-responsible-use-life-sciences-0,,"Safety, Management, Research",eng,"science and technology>natural science, education, science and technology, science and technology>natural science>biology, health, science and technology>natural science>biology>genetics",
