id,doi,title,publication_date,type,cited_by_api_url,primary_topic.display_name,primary_topic.subfield.display_name,primary_topic.domain.display_name,topics.display_name,topics.field.display_name,topics.domain.display_name,keywords.display_name,concepts.display_name,mesh.descriptor_name,mesh.qualifier_name
https://openalex.org/W1996568337,https://doi.org/10.1126/science.1151721,"Complete Chemical Synthesis, Assembly, and Cloning of a <i>Mycoplasma genitalium</i> Genome",2008-01-25,article,https://api.openalex.org/works?filter=cites:W1996568337,Microbial infections and disease research,Microbiology,Life Sciences,Microbial infections and disease research; Bacteriophages and microbial interactions; Herpesvirus Infections and Treatments,Immunology and Microbiology; Environmental Science; Medicine,Life Sciences; Physical Sciences; Health Sciences,Mycoplasma genitalium,Mycoplasma genitalium; Genome; Biology; Genetics; Transposable element; Gene; Virology; Chlamydia trachomatis,"Cloning, Molecular; DNA, Bacterial; Genome, Bacterial; Genomics; Mycoplasma genitalium; Base Sequence; Chromosomes, Artificial, Bacterial; Chromosomes, Artificial, Yeast; DNA, Bacterial; DNA, Recombinant; Escherichia coli; Escherichia coli; Genetic Vectors; Genomics; Mycoplasma genitalium; Oligodeoxyribonucleotides; Oligodeoxyribonucleotides; Plasmids; Recombination, Genetic; Saccharomyces cerevisiae; Saccharomyces cerevisiae; Sequence Analysis, DNA; Transformation, Genetic",None; chemical synthesis; None; methods; genetics; None; None; None; None; None; None; genetics; None; None; None; None; chemical synthesis; None; None; None; genetics; None; None
https://openalex.org/W2144588155,https://doi.org/10.1038/msb4100073,Synthetic biology: new engineering rules for an emerging discipline,2006-01-01,article,https://api.openalex.org/works?filter=cites:W2144588155,Gene Regulatory Network Analysis,Molecular Biology,Life Sciences,Gene Regulatory Network Analysis; Cell Image Analysis Techniques; Single-cell and spatial transcriptomics,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Synthetic Biology; Multicellular organism; Abstraction; Biological Engineering; Complex system,Synthetic biology; Context (archaeology); Systems biology; Multicellular organism; Variety (cybernetics); Biology; Biological systems engineering; Computer science; Abstraction; Hierarchy; Biological engineering; Complex system; Systems engineering; Data science; Biochemical engineering; Artificial intelligence; Computational biology; Engineering; Bioinformatics; Paleontology; Biochemistry; Philosophy; Epistemology; Mechatronics; Economics; Market economy; Gene,"Engineering; Models, Biological; Cells; Engineering; Genetic Engineering; Protein Engineering",methods; None; None; None; None; None
https://openalex.org/W2029583307,https://doi.org/10.1038/nmeth.2918,Large-scale de novo DNA synthesis: technologies and applications,2014-04-29,review,https://api.openalex.org/works?filter=cites:W2029583307,RNA and protein synthesis mechanisms,Molecular Biology,Life Sciences,RNA and protein synthesis mechanisms; Advanced biosensing and bioanalysis techniques; CRISPR and Genetic Engineering,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Synthetic Biology,Synthetic biology; Computational biology; DNA synthesis; Scale (ratio); Biology; DNA; Computer science; Nanotechnology; Genetics; Physics; Materials science; Quantum mechanics,"DNA; Genetic Engineering; Animals; Automation; Computational Biology; Computational Biology; DNA; DNA; DNA Barcoding, Taxonomic; Genetic Engineering; High-Throughput Nucleotide Sequencing; Humans; Mice; Molecular Biology; Oligonucleotide Array Sequence Analysis; Oligonucleotides; Oligonucleotides; Polymers; Polymers; Protein Engineering; Protein Engineering; Sequence Analysis, DNA",biosynthesis; methods; None; None; methods; None; None; genetics; None; None; None; None; None; None; None; genetics; None; None; chemistry; methods; None; None
https://openalex.org/W4211125927,https://doi.org/10.1038/nrg1637,Synthetic biology,2005-07-01,review,https://api.openalex.org/works?filter=cites:W4211125927,Gene Regulatory Network Analysis,Molecular Biology,Life Sciences,Gene Regulatory Network Analysis; RNA and protein synthesis mechanisms; Origins and Evolution of Life,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Physics and Astronomy",Life Sciences; Life Sciences; Physical Sciences,Synthetic Biology,Synthetic biology; Biology; Natural (archaeology); Function (biology); Computational biology; Cognitive science; Data science; Engineering ethics; Computer science; Evolutionary biology; Engineering; Psychology; Paleontology,"Biology; DNA; Genetic Engineering; Genome Components; Proteins; Templates, Genetic; DNA; Humans; Protein Folding; Proteins",None; chemical synthesis; None; None; chemical synthesis; None; None; None; None; None
https://openalex.org/W2931144334,https://doi.org/10.3389/fimmu.2019.00549,Infectious Disease Threats in the Twenty-First Century: Strengthening the Global Response,2019-03-28,article,https://api.openalex.org/works?filter=cites:W2931144334,Viral Infections and Outbreaks Research,Infectious Diseases,Health Sciences,Viral Infections and Outbreaks Research; Zoonotic diseases and public health; Vaccine Coverage and Hesitancy,Medicine; Medicine; Social Sciences,Health Sciences; Health Sciences; Social Sciences,Global Health; One Health,Public health; Global health; One Health; Population; Outbreak; Development economics; Accountability; Infectious disease (medical specialty); Disease; Business; Economic growth; Political science; Environmental health; Medicine; Economics; Virology; Nursing; Pathology; Law,Communicable Diseases; Global Health; Animals; Communicable Diseases; Humans,epidemiology; None; None; None; None
https://openalex.org/W2001674944,https://doi.org/10.1126/science.1155761,Virus Attenuation by Genome-Scale Changes in Codon Pair Bias,2008-06-26,article,https://api.openalex.org/works?filter=cites:W2001674944,Viral Infections and Immunology Research,Cardiology and Cardiovascular Medicine,Health Sciences,Viral Infections and Immunology Research; RNA and protein synthesis mechanisms; Respiratory viral infections research,"Medicine; Biochemistry, Genetics and Molecular Biology; Medicine",Health Sciences; Life Sciences; Health Sciences,Genetic Code; Synonymous substitution; Silent mutation; Stop codon,Codon usage bias; Genetic code; Genome; Genetics; Biology; Synonymous substitution; Amino acid; Capsid; Silent mutation; Start codon; Poliovirus; Stop codon; Translation (biology); Gene; Computational biology; Virus; Mutation; Messenger RNA; Missense mutation,"Capsid Proteins; Poliovirus; Algorithms; Animals; Antibodies, Viral; Cloning, Molecular; Codon; Cytopathogenic Effect, Viral; Genome, Viral; HeLa Cells; Hot Temperature; Humans; Mice; Mice, Transgenic; Mutation; Poliomyelitis; Poliovirus Vaccines; Protein Biosynthesis; Vaccination; Vaccines, Attenuated; Viral Plaque Assay; Virulence",genetics; genetics; None; None; biosynthesis; None; None; None; None; None; None; None; None; None; None; immunology; genetics; None; None; genetics; None; None
https://openalex.org/W2026916707,https://doi.org/10.1073/pnas.2237126100,Generating a synthetic genome by whole genome assembly: φX174 bacteriophage from synthetic oligonucleotides,2003-12-02,article,https://api.openalex.org/works?filter=cites:W2026916707,Bacteriophages and microbial interactions,Ecology,Physical Sciences,Bacteriophages and microbial interactions; RNA and protein synthesis mechanisms; CRISPR and Genetic Engineering,"Environmental Science; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Physical Sciences; Life Sciences; Life Sciences,Synthetic Biology,Bacteriophage; Genome; Oligonucleotide; Biology; Computational biology; Synthetic biology; Genetics; DNA; Gene; Escherichia coli,"Bacteriophage phi X 174; Genes, Synthetic; Genome, Viral; Bacteriophage phi X 174; Bacteriophage phi X 174; Base Sequence; Computer Simulation; DNA, Viral; DNA, Viral; Oligodeoxyribonucleotides; Oligodeoxyribonucleotides",genetics; None; None; None; pathogenicity; None; None; None; isolation & purification; chemical synthesis; None
https://openalex.org/W2124208385,https://doi.org/10.1126/science.1249252,Total Synthesis of a Functional Designer Eukaryotic Chromosome,2014-03-28,article,https://api.openalex.org/works?filter=cites:W2124208385,Genomics and Chromatin Dynamics,Molecular Biology,Life Sciences,Genomics and Chromatin Dynamics; RNA and protein synthesis mechanisms; CRISPR and Genetic Engineering,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology",Life Sciences; Life Sciences; Life Sciences,Functional design,Chromosome; Biology; Functional design; Computational biology; Genetics; Computer science; Programming language; Gene,"Chromosomes, Fungal; Saccharomyces cerevisiae; Synthetic Biology; Base Sequence; Chromosomes, Fungal; Chromosomes, Fungal; DNA, Fungal; DNA, Fungal; Genes, Fungal; Genetic Fitness; Genome, Fungal; Genomic Instability; Introns; Molecular Sequence Data; Mutation; Polymerase Chain Reaction; RNA, Fungal; RNA, Fungal; RNA, Transfer; RNA, Transfer; Saccharomyces cerevisiae; Saccharomyces cerevisiae; Saccharomyces cerevisiae; Sequence Analysis, DNA; Sequence Deletion; Synthetic Biology; Transformation, Genetic",None; genetics; methods; None; genetics; metabolism; None; genetics; None; None; None; None; None; None; None; None; genetics; None; genetics; None; cytology; physiology; None; None; None; None; None
https://openalex.org/W2099090468,https://doi.org/10.1016/j.cell.2009.04.048,A Synthetic Genetic Edge Detection Program,2009-06-01,article,https://api.openalex.org/works?filter=cites:W2099090468,Gene Regulatory Network Analysis,Molecular Biology,Life Sciences,Gene Regulatory Network Analysis; Evolutionary Algorithms and Applications; Microbial Metabolic Engineering and Bioproduction,"Biochemistry, Genetics and Molecular Biology; Computer Science; Biochemistry, Genetics and Molecular Biology",Life Sciences; Physical Sciences; Life Sciences,SIGNAL (programming language); Synthetic Biology; Component (thermodynamics),Biology; SIGNAL (programming language); Synthetic biology; Parameterized complexity; Computation; Enhanced Data Rates for GSM Evolution; Artificial intelligence; Genetic algorithm; Edge detection; Computer science; Electronic circuit; Component (thermodynamics); Biological system; Image (mathematics); Computational biology; Image processing; Algorithm; Machine learning; Engineering; Physics; Electrical engineering; Programming language; Thermodynamics,"Algorithms; Escherichia coli; Image Enhancement; Light; Computer Graphics; Escherichia coli; Image Enhancement; Models, Theoretical",None; genetics; methods; None; None; None; None; None
https://openalex.org/W2913616396,https://doi.org/10.1016/s0140-6736(18)33135-0,"Gender equality in science, medicine, and global health: where are we at and why does it matter?",2019-02-01,review,https://api.openalex.org/works?filter=cites:W2913616396,Sex and Gender in Healthcare,"Public Health, Environmental and Occupational Health",Health Sciences,Sex and Gender in Healthcare; Diversity and Career in Medicine; Healthcare Systems and Challenges,Medicine; Social Sciences; Health Professions,Health Sciences; Social Sciences; Health Sciences,Global Health; Health science,Gender equality; Global health; Health science; Social determinants of health; Political science; Sociology; Medicine; Health care; Gender studies; Medical education; Law,"Global Health; Medicine; Science; Sexism; Women, Working; Female; Humans; Male",None; None; None; None; None; None; None; None
