first_order_doi,Overton id,Title,Translated title,Document type,Published_on,Document URL,Source specific tags,Top topics,Languages,Document theme,Policy Document DOIs
10.1126/science.1151721,randcorporation-8435dd8a8dd0461232cb9f74ee9debf1,Securing Commercial Nucleic Acid Synthesis,,Publication,2024-07-01,https://www.rand.org/pubs/research_reports/RRA3329-1.html,"Meselson Center, RAND Global and Emerging Risks","Nucleic acid sequence, Synthetic biology, Information",eng,"economy, business and finance, economy, business and finance>economic sector, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology, health>diseases and conditions>communicable disease>virus disease, health, economy, business and finance>economic sector>computing and information technology",
10.1126/science.1151721,governmentofcanada-b1107c749bf36be15ec3792a9f13e59d,Canadian biosafety guideline : dual-use in life science research.: HP45-22/2018E-PDF Publications - Canada.ca,,Publication,2018-07-02,http://publications.gc.ca/site/eng/9.894145/publication.html,,"Health, Biosecurity, Biosafety",eng,"health, health>diseases and conditions>communicable disease, science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology",
10.1126/science.1151721,europa-68cac4bce2278f7250c6e72fd86faf79,Opinion on synthetic biology II : risk assessment methodologies and safety aspects.,,Publication,2016-02-12,https://op.europa.eu/en/publication-detail/-/publication/bfd7d06c-d3ae-11e5-a4b5-01aa75ed71a1/language-en/format-PDF,,"Genetically modified organism, Synthetic biology, Xeno nucleic acid",eng,"economy, business and finance, economy, business and finance>economic sector, health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology, economy, business and finance>economic sector>chemicals, health>diseases and conditions>communicable disease>virus disease",10.2772/63529
10.1126/science.1151721,europa-b371ff0617a4caa8d712cf39d82aab35,Opinion on synthetic biology I : definition.,,Publication,2016-02-12,https://op.europa.eu/en/publication-detail/-/publication/4ee360d4-d3af-11e5-a4b5-01aa75ed71a1/language-en/format-PDF,,"Convention on Biological Diversity, Synthetic biology, Genetically modified organism",eng,"science and technology>natural science, science and technology>natural science>biology, science and technology>natural science>biology>genetics, science and technology",10.2772/76553
10.1126/science.1151721,europa-b74e5f0e43db6f9c3e6a2e03d739b358,Opinion on synthetic biology II - Publications Office of the EU,,Publication,2016-02-12,https://op.europa.eu/en/publication-detail/-/publication/bfd7d06c-d3ae-11e5-a4b5-01aa75ed71a1/language-en,,"Biochemistry, Genetically modified organism, Synthetic biology",eng,"economy, business and finance, economy, business and finance>economic sector, health, health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology, economy, business and finance>economic sector>chemicals, health>diseases and conditions>communicable disease>virus disease",10.2772/63529
10.1126/science.1151721,tabde-d5c66a1587b61e8b39c2be111b3a2c40,Synthetische Biologie - die nächste Stufe der Bio- und Gentechnologie,Synthetic Biology - the next level of biotechnology and genetic engineering,Publication,2015-12-01,http://www.tab-beim-bundestag.de/de/pdf/publikationen/berichte/TAB-Arbeitsbericht-ab164.pdf,,"Nature, Artificial objects, Synthetic biology",ger,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science>biology, science and technology, economy, business and finance>economic sector>chemicals, science and technology>natural science>biology>genetics, science and technology>natural science, environment, environment>natural resources",
10.1126/science.1151721,santafeinstitute-a28b9ac5d0078ca765d18d47faba5e3a,Bioengineering the Biosphere?,,Working paper,2014-11-03,https://sfi-edu.s3.amazonaws.com/sfi-edu/production/uploads/sfi-com/dev/uploads/filer/bc/f0/bcf0cec9-3567-4d95-a3e7-870d6de0ba9b/14-10-039.pdf,,"Nature, Earth sciences, Natural environment",eng,"environment>natural resources, environment>nature, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, environment, science and technology, environment>nature>ecosystem, science and technology>natural science>biology>physiology, environment>natural resources>water",
10.1126/science.1151721,oecddiscovery-5411b9963445008f359e8c6a07fac0b0,Emerging Policy Issues in Synthetic Biology,,Publication,2014-06-04,https://dx.doi.org/10.1787/9789264208421-en,,"Synthetic biology, Artificial gene synthesis, DNA sequencing",eng,"economy, business and finance, economy, business and finance>economic sector, science and technology>natural science>biology, science and technology>natural science, science and technology>natural science>biology>genetics, science and technology, economy, business and finance>economic sector>chemicals",10.1787/9789264208421-en
10.1126/science.1151721,pacforum-78162076915aeac9c0a7e6939fd68b99,Issues & Insights Vol. 12 - No. 11 - The Biosecurity Lexicon Project,,Publication,2012-11-01,https://www.pacforum.org/analysis/issues-insights-vol-12-no-11-biosecurity-lexicon-project,,"Genome, Life sciences, Biology",eng,"science and technology>natural science, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions, science and technology>natural science>biology, health, science and technology, health>diseases and conditions>communicable disease",
10.1126/science.1151721,who-a712a73b69719e4c73fc639c82c4a39b,Responsible life sciences research for global health security: a guidance document,,Publication,2012-06-17,https://apps.who.int/iris/handle/10665/70507,,"Culture, Biology, Human activities",eng,"health>diseases and conditions, health>diseases and conditions>communicable disease, science and technology>natural science, health, science and technology>natural science>biology, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease>virus disease>retrovirus, health>diseases and conditions>communicable disease>epidemic, education, science and technology, society",
