cites_first_order_id,id,doi,title,publication_date,type,cited_by_api_url,primary_topic.display_name,primary_topic.subfield.display_name,primary_topic.domain.display_name,topics.display_name,topics.field.display_name,topics.domain.display_name,keywords.display_name,concepts.display_name,mesh.descriptor_name,mesh.qualifier_name
https://openalex.org/W2931144334,https://openalex.org/W3020637112,https://doi.org/10.1080/09669582.2020.1758708,"Pandemics, tourism and global change: a rapid assessment of COVID-19",2020-04-27,article,https://api.openalex.org/works?filter=cites:W3020637112,COVID-19 Pandemic Impacts,Economics and Econometrics,Social Sciences,COVID-19 Pandemic Impacts; COVID-19 epidemiological studies; Travel-related health issues,"Economics, Econometrics and Finance; Mathematics; Medicine",Social Sciences; Physical Sciences; Health Sciences,Pandemic; Social distance,Tourism; Pandemic; Coronavirus disease 2019 (COVID-19); Social distance; Development economics; Population; Business; Climate change; Geography; Psychological intervention; Economic growth; Political science; Economics; Disease; Infectious disease (medical specialty); Environmental health; Medicine; Ecology; Archaeology; Pathology; Biology; Psychiatry,,
https://openalex.org/W2931144334,https://openalex.org/W3015145497,https://doi.org/10.1590/1516-4446-2020-0008,“Pandemic fear” and COVID-19: mental health burden and strategies,2020-04-04,editorial,https://api.openalex.org/works?filter=cites:W3015145497,COVID-19 and Mental Health,Clinical Psychology,Social Sciences,COVID-19 and Mental Health; COVID-19 Pandemic Impacts; Mental Health Treatment and Access,"Psychology; Economics, Econometrics and Finance; Psychology",Social Sciences; Social Sciences; Social Sciences,Pandemic; 2019-20 coronavirus outbreak,Coronavirus disease 2019 (COVID-19); Pandemic; Mental health; 2019-20 coronavirus outbreak; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); Psychology; Medicine; Psychiatry; Virology; Outbreak; Disease; Infectious disease (medical specialty); Pathology,"Fear; COVID-19; Coronavirus Infections; Health Policy; Humans; Inpatients; Mental Disorders; Pandemics; Pneumonia, Viral; Quarantine",psychology; None; prevention & control; None; None; psychology; prevention & control; prevention & control; prevention & control; psychology
https://openalex.org/W2931144334,https://openalex.org/W3020179824,https://doi.org/10.1080/14616688.2020.1759131,"Pandemics, transformations and tourism: be careful what you wish for",2020-04-28,article,https://api.openalex.org/works?filter=cites:W3020179824,Diverse Aspects of Tourism Research,Sociology and Political Science,Social Sciences,Diverse Aspects of Tourism Research; COVID-19 Pandemic Impacts; COVID-19 epidemiological studies,"Social Sciences; Economics, Econometrics and Finance; Mathematics",Social Sciences; Social Sciences; Physical Sciences,Pandemic; Sustainable Tourism,Tourism; Pandemic; Government (linguistics); Sustainability; Sustainable tourism; Meaning (existential); Development economics; Tourism geography; Coronavirus disease 2019 (COVID-19); Political science; Business; Political economy; Sociology; Economics; Disease; Psychology; Law; Infectious disease (medical specialty); Medicine; Pathology; Ecology; Linguistics; Philosophy; Psychotherapist; Biology,,
https://openalex.org/W2931144334,https://openalex.org/W3087347130,https://doi.org/10.1016/j.resconrec.2020.105169,A critical analysis of the impacts of COVID-19 on the global economy and ecosystems and opportunities for circular economy strategies,2020-09-21,article,https://api.openalex.org/works?filter=cites:W3087347130,COVID-19 impact on air quality,Global and Planetary Change,Physical Sciences,COVID-19 impact on air quality; Healthcare and Environmental Waste Management; Sustainable Supply Chain Management,"Environmental Science; Medicine; Business, Management and Accounting",Physical Sciences; Health Sciences; Social Sciences,Pandemic; Circular Economy; World economy; Globe; Superpower,Sustainable development; Pandemic; Circular economy; World economy; Globe; Superpower; Business; China; Competition (biology); Economy; Economics; Coronavirus disease 2019 (COVID-19); Economic system; Political science; Ecology; Medicine; Disease; Pathology; Infectious disease (medical specialty); Ophthalmology; Law; Biology,,
https://openalex.org/W2931144334,https://openalex.org/W3023650990,https://doi.org/10.1007/s11469-020-00277-1,Validation and Psychometric Evaluation of the Italian Version of the Fear of COVID-19 Scale,2020-05-04,article,https://api.openalex.org/works?filter=cites:W3023650990,COVID-19 and Mental Health,Clinical Psychology,Social Sciences,COVID-19 and Mental Health; Long-Term Effects of COVID-19; Psychosomatic Disorders and Their Treatments,Psychology; Medicine; Medicine,Social Sciences; Health Sciences; Health Sciences,Health psychology; 2019-20 coronavirus outbreak,Health psychology; Coronavirus disease 2019 (COVID-19); Scale (ratio); Psychology; Public health; Clinical psychology; 2019-20 coronavirus outbreak; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); Psychometrics; Applied psychology; Psychiatry; Medicine; Nursing; Virology; Geography; Disease; Cartography; Pathology; Outbreak; Infectious disease (medical specialty),,
https://openalex.org/W2931144334,https://openalex.org/W3126693085,https://doi.org/10.1016/j.bios.2021.113074,Internet of medical things (IoMT)-integrated biosensors for point-of-care testing of infectious diseases,2021-02-07,review,https://api.openalex.org/works?filter=cites:W3126693085,SARS-CoV-2 detection and testing,Infectious Diseases,Health Sciences,SARS-CoV-2 detection and testing; Biosensors and Analytical Detection; Advanced biosensing and bioanalysis techniques,"Medicine; Engineering; Biochemistry, Genetics and Molecular Biology",Health Sciences; Physical Sciences; Life Sciences,Point-of-Care Testing; Pandemic; Point of care,Point-of-care testing; Infectious disease (medical specialty); Pandemic; Medicine; Point of care; Disease; Coronavirus disease 2019 (COVID-19); Pathology,"Biosensing Techniques; Communicable Diseases; Internet of Things; Point-of-Care Testing; Animals; Artificial Intelligence; Biosensing Techniques; Biosensing Techniques; COVID-19; COVID-19; Communicable Diseases; Coronavirus Infections; Coronavirus Infections; Dengue; Dengue; Equipment Design; HIV Infections; HIV Infections; Hemorrhagic Fever, Ebola; Hemorrhagic Fever, Ebola; Humans; Influenza, Human; Influenza, Human; Malaria; Malaria; Orthomyxoviridae Infections; Orthomyxoviridae Infections; Zika Virus Infection; Zika Virus Infection",instrumentation; diagnosis; None; None; None; None; methods; None; None; diagnosis; None; diagnosis; None; None; diagnosis; None; None; diagnosis; diagnosis; None; None; None; diagnosis; diagnosis; None; None; diagnosis; diagnosis; None
https://openalex.org/W2931144334,https://openalex.org/W2985884608,https://doi.org/10.1093/nar/gkz904,PHI-base: the pathogen–host interactions database,2019-11-14,article,https://api.openalex.org/works?filter=cites:W2985884608,Bacteriophages and microbial interactions,Ecology,Physical Sciences,Bacteriophages and microbial interactions; Genomics and Phylogenetic Studies; Plant Virus Research Studies,"Environmental Science; Biochemistry, Genetics and Molecular Biology; Agricultural and Biological Sciences",Physical Sciences; Life Sciences; Life Sciences,Base (topology),Biology; Host (biology); Pathogen; Base (topology); Database; Computational biology; Genetics; Mathematical analysis; Mathematics; Computer science,"Communicable Diseases; Communicable Diseases; Computational Biology; Databases, Factual; Host-Pathogen Interactions; Algorithms; Animals; Antifungal Agents; Biological Assay; Communicable Diseases; Computational Biology; Crops, Agricultural; Data Management; Genome, Plant; Host-Pathogen Interactions; Humans; Internet; Phenotype; Plants; Search Engine",parasitology; microbiology; methods; None; genetics; None; None; None; None; None; None; None; None; None; None; None; None; None; None; None
https://openalex.org/W2931144334,https://openalex.org/W3017036382,https://doi.org/10.1097/acm.0000000000003441,Pandemics and Their Impact on Medical Training: Lessons From Singapore,2020-04-17,article,https://api.openalex.org/works?filter=cites:W3017036382,COVID-19 and healthcare impacts,Oncology,Health Sciences,COVID-19 and healthcare impacts; COVID-19 Clinical Research Studies; Innovations in Medical Education,Medicine; Medicine; Medicine,Health Sciences; Health Sciences; Health Sciences,Mandate; Pandemic,Mandate; Pandemic; Coronavirus disease 2019 (COVID-19); Medical education; China; Training (meteorology); Health care; Medicine; Political science; Public relations; Disease; Infectious disease (medical specialty); Geography; Pathology; Meteorology; Law,"Coronavirus Infections; Education, Medical; Pneumonia, Viral; Betacoronavirus; COVID-19; Coronavirus Infections; Delivery of Health Care; Education, Medical; Humans; Pandemics; Pneumonia, Viral; SARS-CoV-2; Singapore",epidemiology; trends; epidemiology; None; None; None; None; None; None; None; None; None; None
https://openalex.org/W2931144334,https://openalex.org/W3081344388,https://doi.org/10.1016/j.bios.2020.112513,Quartz crystal microbalance-based biosensors as rapid diagnostic devices for infectious diseases,2020-08-23,review,https://api.openalex.org/works?filter=cites:W3081344388,Biosensors and Analytical Detection,Biomedical Engineering,Physical Sciences,Biosensors and Analytical Detection; Bacteriophages and microbial interactions; Acoustic Wave Resonator Technologies,Engineering; Environmental Science; Engineering,Physical Sciences; Physical Sciences; Physical Sciences,Quartz Crystal Microbalance,Quartz crystal microbalance; Biosensor; Nanotechnology; Infectious disease (medical specialty); Computer science; Biochemical engineering; Medicine; Disease; Engineering; Materials science; Pathology; Chemistry; Organic chemistry; Adsorption,Biosensing Techniques; Communicable Diseases; Humans; Point-of-Care Systems; Quartz Crystal Microbalance Techniques,None; diagnosis; None; None; None
https://openalex.org/W2931144334,https://openalex.org/W3152774184,https://doi.org/10.3390/life11040348,"Andrographis paniculata (Burm. f.) Wall. ex Nees: An Updated Review of Phytochemistry, Antimicrobial Pharmacology, and Clinical Safety and Efficacy",2021-04-16,review,https://api.openalex.org/works?filter=cites:W3152774184,Andrographolide Research and Applications,Complementary and alternative medicine,Health Sciences,Andrographolide Research and Applications; Ginseng Biological Effects and Applications; Plant Pathogenic Bacteria Studies,"Medicine; Biochemistry, Genetics and Molecular Biology; Agricultural and Biological Sciences",Health Sciences; Life Sciences; Life Sciences,Andrographis Paniculata; Andrographolide,Andrographis paniculata; Andrographolide; Antimicrobial; Traditional medicine; Biology; Pharmacology; Medicine; Microbiology; Alternative medicine; Pathology,,
https://openalex.org/W2931144334,https://openalex.org/W3042810832,https://doi.org/10.1177/0275074020943708,Lessons From South Korea’s Covid-19 Policy Response,2020-07-17,article,https://api.openalex.org/works?filter=cites:W3042810832,COVID-19 epidemiological studies,Modeling and Simulation,Physical Sciences,COVID-19 epidemiological studies; COVID-19 Pandemic Impacts; Disaster Management and Resilience,"Mathematics; Economics, Econometrics and Finance; Social Sciences",Physical Sciences; Social Sciences; Social Sciences,Pandemic; Contact tracing; Crisis Management,Government (linguistics); Pandemic; Public health; Context (archaeology); Contact tracing; Economic growth; Political science; Coronavirus disease 2019 (COVID-19); Public sector; Crisis management; Health care; Private sector; Public administration; Business; Infectious disease (medical specialty); Geography; Medicine; Disease; Economics; Nursing; Philosophy; Linguistics; Archaeology; Pathology; Law,,
https://openalex.org/W2931144334,https://openalex.org/W4304128343,https://doi.org/10.1016/j.jpba.2022.115102,Biomass-derived carbon nanomaterials for sensor applications,2022-10-11,review,https://api.openalex.org/works?filter=cites:W4304128343,Supercapacitor Materials and Fabrication,"Electronic, Optical and Magnetic Materials",Physical Sciences,Supercapacitor Materials and Fabrication; Electrochemical sensors and biosensors; Electrocatalysts for Energy Conversion,Materials Science; Engineering; Energy,Physical Sciences; Physical Sciences; Physical Sciences,Carbon fibers,Biomass (ecology); Carbon fibers; Renewable energy; Nanotechnology; Chemistry; Materials science; Composite material; Oceanography; Engineering; Composite number; Electrical engineering; Geology,Metal Nanoparticles; Nanostructures; Biomass; Catalysis; Nanostructures; Porosity,None; None; None; None; chemistry; None
https://openalex.org/W2931144334,https://openalex.org/W4224236663,https://doi.org/10.1002/advs.202105904,Virus Detection: From State‐of‐the‐Art Laboratories to Smartphone‐Based Point‐of‐Care Testing,2022-04-07,review,https://api.openalex.org/works?filter=cites:W4224236663,SARS-CoV-2 detection and testing,Infectious Diseases,Health Sciences,SARS-CoV-2 detection and testing; SARS-CoV-2 and COVID-19 Research; Biosensors and Analytical Detection,Medicine; Medicine; Engineering,Health Sciences; Health Sciences; Physical Sciences,Point-of-Care Testing; Point of care; Smartphone application; Anti virus,Point-of-care testing; Point of care; Computer science; State (computer science); Point (geometry); Smartphone application; Anti virus; Virology; Medicine; Multimedia; Nursing; Mathematics; Pathology; Programming language; Geometry,COVID-19; Zika Virus; Zika Virus Infection; COVID-19; Clinical Laboratory Techniques; Humans; Laboratories; Point-of-Care Testing; Smartphone; Zika Virus Infection,None; None; None; diagnosis; None; None; None; None; None; diagnosis
https://openalex.org/W2931144334,https://openalex.org/W3213653103,https://doi.org/10.1093/nar/gkab1037,PHI-base in 2022: a multi-species phenotype database for Pathogen–Host Interactions,2021-11-08,article,https://api.openalex.org/works?filter=cites:W3213653103,Genomics and Phylogenetic Studies,Molecular Biology,Life Sciences,Genomics and Phylogenetic Studies; Plant Pathogens and Fungal Diseases; Plant-Microbe Interactions and Immunity,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Agricultural and Biological Sciences",Life Sciences; Life Sciences; Life Sciences,UniProt; RefSeq; Ensembl,Biology; UniProt; Host (biology); Virulence; Gene; Effector; Genetics; RefSeq; Phenotype; Pathogen; Ensembl; Database; Genome; Computational biology; Genomics; Computer science; Cell biology,"Databases, Factual; Host-Pathogen Interactions; Phenotype; User-Computer Interface; Animals; Apicomplexa; Apicomplexa; Apicomplexa; Apicomplexa; Bacteria; Bacteria; Bacteria; Bacteria; Diplomonadida; Diplomonadida; Diplomonadida; Diplomonadida; Fungi; Fungi; Fungi; Fungi; Host-Pathogen Interactions; Insecta; Insecta; Insecta; Insecta; Internet; Nematoda; Nematoda; Nematoda; Nematoda; Phylogeny; Plants; Plants; Plants; Virulence",None; genetics; None; None; None; None; genetics; pathogenicity; classification; genetics; pathogenicity; None; classification; classification; None; genetics; pathogenicity; None; classification; genetics; pathogenicity; None; genetics; pathogenicity; None; classification; None; pathogenicity; classification; genetics; None; None; parasitology; microbiology; None; None
https://openalex.org/W2931144334,https://openalex.org/W4220856790,https://doi.org/10.1257/jel.20201642,Modern Infectious Diseases: Macroeconomic Impacts and Policy Responses,2022-03-01,article,https://api.openalex.org/works?filter=cites:W4220856790,Global Health Care Issues,General Health Professions,Health Sciences,Global Health Care Issues; HIV/AIDS Impact and Responses; COVID-19 Pandemic Impacts,"Health Professions; Economics, Econometrics and Finance; Economics, Econometrics and Finance",Health Sciences; Social Sciences; Social Sciences,Pandemic,Toll; Pandemic; Infectious disease (medical specialty); Malaria; Development economics; Economics; Psychological intervention; Economic growth; Disease; Coronavirus disease 2019 (COVID-19); Medicine; Immunology; Pathology; Psychiatry,,
https://openalex.org/W2931144334,https://openalex.org/W4288085022,https://doi.org/10.3390/jof8080776,"Current Progress on Epidemiology, Diagnosis, and Treatment of Sporotrichosis and Their Future Trends",2022-07-26,review,https://api.openalex.org/works?filter=cites:W4288085022,Fungal Infections and Studies,Epidemiology,Health Sciences,Fungal Infections and Studies; Mycobacterium research and diagnosis; Enterobacteriaceae and Cronobacter Research,"Medicine; Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Health Sciences; Life Sciences,,Sporotrichosis; Epidemiology; Disease; Medicine; Intensive care medicine; Biology; Pathology,,
https://openalex.org/W2931144334,https://openalex.org/W4388087321,https://doi.org/10.1016/j.ccr.2023.215528,Novel advancements in the sustainable green synthesis approach of silver nanoparticles (AgNPs) for antibacterial therapeutic applications,2023-10-31,article,https://api.openalex.org/works?filter=cites:W4388087321,Nanoparticles: synthesis and applications,Materials Chemistry,Physical Sciences,Nanoparticles: synthesis and applications; Chemistry and Chemical Engineering; Advanced Nanomaterials in Catalysis,Materials Science; Environmental Science; Materials Science,Physical Sciences; Physical Sciences; Physical Sciences,Silver nanoparticle,Chemistry; Silver nanoparticle; Nanotechnology; Nanoparticle; Antibacterial activity; Green chemistry; Combinatorial chemistry; Organic chemistry; Bacteria; Reaction mechanism; Materials science; Biology; Genetics; Catalysis,,
https://openalex.org/W2931144334,https://openalex.org/W4386157643,https://doi.org/10.1016/j.ecoenv.2023.115389,Bacterial biofilm inhibitors: An overview,2023-08-25,review,https://api.openalex.org/works?filter=cites:W4386157643,Bacterial biofilms and quorum sensing,Molecular Biology,Life Sciences,Bacterial biofilms and quorum sensing; Antibiotic Resistance in Bacteria; Antimicrobial Peptides and Activities,"Biochemistry, Genetics and Molecular Biology; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",Life Sciences; Life Sciences; Life Sciences,Extracellular polymeric substance,Biofilm; Quorum sensing; Bacteria; Microbiology; Antimicrobial; Biology; Virulence; Antibiotics; Extracellular polymeric substance; Gene; Biochemistry; Genetics,"Bacterial Proteins; Communicable Diseases; Anti-Bacterial Agents; Anti-Bacterial Agents; Bacteria; Bacteria; Bacterial Proteins; Biofilms; Gene Expression Regulation, Bacterial; Humans",None; None; None; pharmacology; None; metabolism; metabolism; None; None; None
