Alpha,Alpha base,Variant,Beta,VS,Spearman,Overlap top_100 (%),Overlap top_500 (%),Overlap top 1pct (%),Overlap top 5pct (%),Top_100 IH_pct (%),Top_500 IH_pct (%),Top 1pct_IH (%),Top 5pct_IH (%),Δ top 100 (%),Average IH percentile rank (AIHPR),Δ AIHPR (%)
0.850000000,0.850000000,UNW,,UNW @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,25.000000000,23.600000000,23.460000000,13.480000000,0.000000000,43.980000000,0.000000000
0.850000000,0.850000000,BW,,BW @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,24.000000000,23.800000000,23.240000000,13.310000000,0.000000000,44.120000000,0.000000000
0.850000000,0.850000000,BW_D,,BW_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,24.000000000,23.800000000,23.240000000,13.310000000,0.000000000,44.120000000,0.000000000
0.850000000,0.850000000,BW_D_L,,BW_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,24.800000000,23.140000000,13.500000000,0.000000000,43.840000000,0.000000000
0.850000000,0.850000000,BW_D_L_T,,BW_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,24.200000000,22.700000000,13.390000000,0.000000000,43.930000000,0.000000000
0.850000000,0.850000000,EXP_D,3.000000000,EXP_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,21.000000000,23.600000000,22.920000000,12.850000000,0.000000000,44.320000000,-0.000000000
0.850000000,0.850000000,EXP_D_L,3.000000000,EXP_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,23.000000000,22.810000000,13.260000000,0.000000000,43.650000000,0.000000000
0.850000000,0.850000000,EXP_D_L_T,3.000000000,EXP_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,22.000000000,23.000000000,22.270000000,13.370000000,0.000000000,43.670000000,-0.000000000
0.850000000,0.850000000,EXP_D,5.000000000,EXP_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,21.000000000,24.000000000,22.700000000,12.770000000,0.000000000,44.130000000,0.000000000
0.850000000,0.850000000,EXP_D_L,5.000000000,EXP_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,22.800000000,22.380000000,13.290000000,0.000000000,43.580000000,0.000000000
